up_new,Descrizione,B1a,B1b,B2a,B2b,B3a,B3b,B4a,B4b,B5a,B5b,B6a,B6b,B7a,B7b,B8a,B8b,B9a,B9b,B10a,B10b,B11a,B11b,B12a,B12b,B13a,B13b,B14a,B14b,B15a,B15b,B16a,B16b,B17a,B17b,B18a,B18b,B19a,B19b,B20a,B20b,B21a,B21b,B22a,B22b,B23a,B23b,B24a,B24b,B25a,B25b,B26a,B26b,B27a,B27b,B28a,B28b,B29a,B29b,B30a,B30b,B31a,B31b,B32a,B32b,B33a,B33b
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",66.6666666667,66.6666666667,83.3333333333,69.0476190476,58.3333333333,64.2857142857,20.8333333333,23.8095238095,54.1666666667,50,83.3333333333,73.8095238095,8.3333333333,9.5238095238,8.3333333333,7.1428571429,33.3333333333,38.0952380952,0,0,0,0,8.3333333333,7.1428571429,0,0,33.3333333333,35.7142857143,8.3333333333,9.5238095238,8.3333333333,9.5238095238,4.1666666667,4.7619047619,54.1666666667,54.7619047619,37.5,45.2380952381,0,0,12.5,7.1428571429,12.5,11.9047619048,45.8333333333,59.5238095238,100,78.5714285714,66.6666666667,69.0476190476,0,0,0,0,12.5,11.9047619048,29.1666666667,33.3333333333,95.8333333333,83.3333333333,12.5,11.9047619048,41.6666666667,47.619047619,4.1666666667,7.1428571429
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",76.3888888889,73.8095238095,52.7777777778,47.619047619,61.1111111111,53.9682539683,33.3333333333,38.0952380952,68.0555555556,66.6666666667,77.7777777778,76.9841269841,13.8888888889,15.873015873,0,0,30.5555555556,27.7777777778,5.5555555556,7.1428333333,8.3333333333,12.6984126984,8.3333333333,11.9047619048,2.7777777778,3.9682539683,30.5555555556,38.0952380952,2.7777777778,3.9682539683,2.7777777778,3.9682539683,2.7777777778,3.9682539683,55.5555555556,53.9682539683,52.7777777778,57.1428571429,16.6666666667,16.6666666667,1.3888888889,2.380952381,2.7777777778,3.9682539683,86.1111111111,80.9523809524,91.6666666667,84.9206349206,80.5555555556,80.1587301587,22.2222222222,21.4285714286,33.3333333333,35.7142857143,30.5555555556,34.126984127,29.1666666667,29.3650793651,70.8333333333,57.9365079365,12.5,13.4920634921,62.5,59.5238095238,1.3888888889,1.5872777778
1.1.2.4.3,Direttori generali ed equiparati nella sanità,83.8235294118,83.1932773109,42.6470588235,49.5798319328,55.8823529412,55.4621848739,17.6470588235,15.9663865546,64.7058823529,61.3445378151,70.5882352941,65.5462184874,32.3529411765,31.0924369748,2.9411764706,3.3613445378,16.1764705882,19.3277310924,7.3529411765,8.4033613445,1.4705882353,2.5210084034,4.4117647059,6.7226638655,0,0,25,28.5714285714,2.9411764706,3.3613445378,5.8823529412,6.7226638655,13.2352941176,16.8067226891,30.8823529412,33.6134453782,33.8235294118,33.6134453782,0,0,51.4705882353,47.8991596639,5.8823529412,7.563,38.2352941176,42.0168067227,70.5882352941,66.3865546218,44.1176470588,42.8571428571,0,0,0,0,0,0,48.5294117647,41.1764705882,80.8823529412,64.7058823529,7.3529411765,8.4033613445,32.3529411765,29.4117647059,5.8823529412,5.8823277311
1.1.2.5.0,Dirigenti scolastici ed equiparati,66.6666666667,61.3095238095,54.1666666667,48.8095238095,40.625,42.2619047619,32.2916666667,34.5238095238,56.25,51.1904761905,86.4583333333,76.7857142857,19.7916666667,22.0238095238,2.0833333333,1.7857142857,19.7916666667,20.2380952381,2.0833333333,2.9761904762,3.125,5.9523630952,4.1666666667,4.1666666667,0,0,34.375,32.1428571429,6.25,7.738077381,5.2083333333,6.5476190476,4.1666666667,4.7619047619,54.1666666667,52.9761904762,57.2916666667,56.5476190476,12.5,12.5,14.5833333333,17.8571428571,20.8333333333,18.4523809524,76.0416666667,70.8333333333,85.4166666667,77.9760714286,54.1666666667,54.1666666667,20.8333333333,21.4285714286,21.875,24.4047619048,29.1666666667,28.5714285714,40.625,43.4523809524,59.375,51.7857142857,14.5833333333,17.2619047619,37.5,41.6666666667,11.4583333333,12.5
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",76.4705882353,70.5882352941,75,70.5882352941,50,52.9411764706,19.1176470588,24.3697478992,55.8823529412,58.8235294118,63.2352941176,63.8655462185,19.1176470588,20.1680672269,0,0,23.5294117647,27.731092437,4.4117647059,5.0420168067,4.4117647059,7.5630252101,0,0,1.4705882353,1.6806470588,30.8823529412,34.4537815126,2.9411764706,3.3613445378,4.4117647059,5.0420168067,1.4705882353,1.6806470588,48.5294117647,50.4201680672,51.4705882353,51.2605042017,11.7647058824,15.9663865546,1.4705882353,1.6806470588,5.8823529412,5.8823529412,44.1176470588,46.218487395,79.4117647059,71.4285714286,54.4117647059,54.6218487395,0,0,13.2352941176,12.6050420168,10.2941176471,12.6050420168,29.4117647059,32.7731092437,76.4705882353,68.0672268908,19.1176470588,16.8067226891,48.5294117647,47.8991596639,10.2941176471,10.9243697479
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,68.4210526316,67.6691729323,63.1578947368,64.6616541353,63.1578947368,60.9022556391,27.6315789474,32.3308270677,53.9473684211,57.1428571429,59.2105263158,53.3834586466,23.6842105263,22.5563909774,0,0,19.7368421053,21.8045112782,13.1578947368,11.2781954887,10.5263157895,9.022556391,0,0,0,0,36.8421052632,45.8646616541,1.3157894737,1.5037368421,0,0,1.3157894737,1.5037593985,38.1578947368,36.0902255639,34.2105263158,38.3458646617,5.2631578947,7.5187969925,2.6315789474,3.007518797,0,0,65.7894736842,62.4060150376,81.5789473684,77.4436090226,76.3157894737,71.4285714286,5.2631578947,6.015037594,13.1578947368,15.7894736842,6.5789473684,9.7744360902,11.8421052632,12.7819548872,76.3157894737,65.4135338346,10.5263157895,12.030075188,35.5263157895,33.8345864662,1.3157894737,2.2556390977
1.1.2.6.3,Dirigenti ed equiparati nella sanità,71,67.4285714286,56,59.4285714286,46,48,26,29.7142857143,75,70.2857142857,70,68,34,34.2857142857,2,1.7142857143,29,31.4285714286,6,6.2857142857,4,4.5714285714,4,6.2857142857,2,2.8571428571,34,35.4285714286,6,7.9999828571,21,21.7142857143,30,27.4285714286,47,46.2857142857,47,41.1428571429,6,9.7142514286,46,42.2857142857,22,21.7142857143,53,53.1428571429,75,65.7142857143,57,55.4285714286,4,5.7142857143,3,3.4285714286,5,5.7142857143,32,32.5714285714,71,62.8571428571,20,21.1428571429,43,40,7,8.5714285714
1.1.3.1.0,Dirigenti della magistratura ordinaria,29.4117647059,26.8907563025,55.8823529412,56.3025210084,10.2941176471,12.6050420168,0,0,20.5882352941,21.8487394958,45.5882352941,45.3781512605,2.9411764706,5.0420168067,0,0,20.5882352941,18.487394958,1.4705882353,1.6806470588,0,0,0,0,0,0,8.8235294118,7.5630252101,0,0,0,0,2.9411764706,3.3613445378,30.8823529412,27.731092437,19.1176470588,20.1680672269,11.7647058824,8.4033613445,5.8823529412,4.2016806723,0,0,17.6470588235,15.1260504202,85.2941176471,77.3107563025,39.7058823529,42.0168067227,1.4705882353,1.6806470588,1.4705882353,1.6806470588,1.4705882353,1.6806470588,17.6470588235,22.6890756303,95.5882352941,91.5964705882,10.2941176471,12.6050420168,16.1764705882,17.6470588235,1.4705882353,1.6806470588
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,55.2631578947,55.6390977444,64.4736842105,65.4135338346,55.2631578947,54.8872180451,6.5789473684,9.022556391,35.5263157895,39.0977443609,39.4736842105,41.3533834586,13.1578947368,15.037593985,0,0,27.6315789474,24.0601503759,1.3157894737,1.5037593985,1.3157894737,2.2556390977,6.5789473684,6.015037594,1.3157894737,1.5037593985,32.8947368421,40.6015037594,3.9473684211,3.7593984962,2.6315789474,3.007518797,2.6315789474,3.007518797,32.8947368421,33.0827067669,17.1052631579,14.2857142857,10.5263157895,9.7744360902,5.2631578947,6.015037594,5.2631578947,5.2631578947,28.9473684211,31.5789473684,77.6315789474,75.9398496241,35.5263157895,42.8571428571,2.6315789474,3.007518797,11.8421052632,12.7819548872,11.8421052632,13.5338345865,22.3684210526,26.3157894737,94.7368421053,87.969924812,13.1578947368,16.5413533835,26.3157894737,29.3233082707,6.5789473684,6.7669172932
1.1.4.1.1,Dirigenti di partiti e movimenti politici,46.0526315789,48.1203007519,38.1578947368,46.6165413534,32.8947368421,36.0902255639,25,28.5714285714,46.0526315789,47.3684210526,38.1578947368,41.3533834586,5.2631578947,7.5187969925,3.9473684211,6.015037594,39.4736842105,39.0977443609,0,0,0,0,0,0,1.3157894737,1.5037368421,17.1052631579,20.3007518797,1.3157894737,1.5037593985,2.6315789474,3.007518797,2.6315789474,5.2631578947,56.5789473684,53.3834586466,61.8421052632,62.4060150376,39.4736842105,46.6165413534,1.3157894737,1.5037593985,0,0,35.5263157895,42.1052631579,88.1578947368,69.9248120301,57.8947368421,52.6315789474,5.2631578947,5.2631578947,40.7894736842,36.0902255639,32.8947368421,41.3533834586,25,27.0676691729,82.8947368421,66.9172932331,46.0526315789,38.3458646617,88.1578947368,64.6616541353,25,26.3157894737
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,62.5,60.7142857143,65,65,56.25,60.7142857143,32.5,33.5714285714,77.5,69.2857142857,70,65,38.75,37.8571428571,3.75,5,28.75,26.4285714286,1.25,1.4285714286,1.25,1.4285714286,1.25,2.8571428571,2.5,2.8571428571,25,25.7142857143,3.75,3.5714285714,2.5,1.4285714286,5,4.2857142857,35,32.1428571429,41.25,40.7142857143,13.75,14.2857142857,2.5,2.8571428571,2.5,2.1428571429,51.25,50.7142857143,77.5,74.2857142857,48.75,47.1428571429,3.75,3.5714285714,2.5,2.1428571429,5,6.42855,22.5,20.7142857143,80,74.2857142857,13.75,14.2857142857,50,49.2857142857,11.25,10
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",73.6842105263,67.6691729323,59.2105263158,60.9022556391,52.6315789474,55.6390977444,28.9473684211,33.8345864662,50,51.1278195489,73.6842105263,67.6691729323,25,23.3082706767,0,0,26.3157894737,26.3157894737,2.6315789474,3.7593759398,11.8421052632,11.2781954887,1.3157894737,1.5037368421,2.6315789474,3.7593984962,35.5263157895,39.0977443609,3.9473684211,6.015037594,5.2631578947,6.015037594,1.3157894737,1.5037593985,48.6842105263,50.3759398496,56.5789473684,59.3984962406,38.1578947368,41.3533834586,5.2631578947,4.5112781955,17.1052631579,14.2857142857,53.9473684211,55.6390977444,73.6842105263,69.1729323308,76.3157894737,75.1879699248,6.5789473684,6.7669172932,15.7894736842,22.5563909774,22.3684210526,23.3082706767,36.8421052632,37.5939849624,69.7368421053,62.4060150376,18.4210526316,14.2857142857,47.3684210526,43.6090225564,6.5789473684,6.015037594
