up_new,Descrizione,B1a,B1b,B2a,B2b,B3a,B3b,B4a,B4b,B5a,B5b,B6a,B6b,B7a,B7b,B8a,B8b,B9a,B9b,B10a,B10b,B11a,B11b,B12a,B12b,B13a,B13b,B14a,B14b,B15a,B15b,B16a,B16b,B17a,B17b,B18a,B18b,B19a,B19b,B20a,B20b,B21a,B21b,B22a,B22b,B23a,B23b,B24a,B24b,B25a,B25b,B26a,B26b,B27a,B27b,B28a,B28b,B29a,B29b,B30a,B30b,B31a,B31b,B32a,B32b,B33a,B33b
2.6.2.3.2,Ricercatori e tecnici laureati nelle scienze ingegneristiche industriali e dell’informazione,38.6363636364,48.0519480519,42.0454545455,48.0519480519,32.9545454545,40.2597402597,28.4090909091,32.4675324675,40.9090909091,47.4025974026,46.5909090909,45.4545454545,35.2272727273,37.6623376623,1.1363636364,1.9480519481,81.8181818182,87.012987013,94.3181818182,91.5584415584,69.3181818182,74.025974026,18.1818181818,22.7272727273,46.5909090909,50,92.0454545455,90.9090909091,84.0909090909,81.8180519481,48.8636363636,55.1948051948,25,27.9220779221,32.9545454545,40.2597402597,17.0454545455,20.1298701299,11.3636363636,12.987012987,14.7727272727,16.2337662338,3.4090909091,3.8960844156,73.8636363636,77.2727272727,80.6818181818,80.5194805195,90.9090909091,89.6103896104,14.7727272727,14.9350649351,11.3636363636,13.6363636364,7.9545454545,11.6883116883,28.4090909091,31.1688311688,35.2272727273,38.961038961,46.5909090909,48.0519480519,46.5909090909,51.2987012987,18.1818181818,16.8831168831
2.6.2.4.0,"Ricercatori e tecnici laureati nelle scienze dell'antichità, filologico-letterarie e storico-artistiche",20.8333333333,23.8095238095,27.7777777778,26.1904761905,4.1666666667,5.555531746,6.9444444444,9.5238095238,15.2777777778,15.873015873,16.6666666667,17.4603174603,5.5555555556,6.3492063492,0,0,27.7777777778,30.9523809524,6.9444444444,7.9365079365,0,0,4.1666666667,4.7619047619,0,0,11.1111111111,12.6984126984,5.5555555556,7.1428571429,4.1666666667,5.5555555556,5.5555555556,5.5555555556,19.4444444444,23.8095238095,51.3888888889,57.1428571429,38.8888888889,46.8253968254,0,0,0,0,68.0555555556,62.6984126984,95.8333333333,90.4761904762,86.1111111111,83.3333333333,43.0555555556,38.8888888889,90.2777777778,87.3015873016,59.7222222222,69.8412698413,6.9444444444,9.5238095238,31.9444444444,37.3015873016,12.5,16.6666666667,43.0555555556,42.8571428571,6.9444444444,7.9365079365
2.6.2.5.1,Ricercatori e tecnici laureati nelle scienze storiche e filosofiche,11.8421052632,14.2857142857,26.3157894737,36.0902255639,3.9473684211,6.015037594,2.6315789474,3.7593984962,1.3157894737,1.5037368421,14.4736842105,15.037593985,0,0,2.6315789474,3.007518797,13.1578947368,16.5413533835,2.6315789474,3.7593984962,1.3157894737,3.007518797,0,0,0,0,5.2631578947,9.022556391,7.8947368421,12.030075188,6.5789473684,8.2706541353,11.8421052632,12.7819548872,30.2631578947,43.6090225564,39.4736842105,48.8721804511,19.7368421053,23.3082706767,1.3157894737,3.007518797,2.6315789474,3.007518797,61.8421052632,58.6466165414,57.8947368421,60.9022556391,51.3157894737,56.3909774436,14.4736842105,16.5413533835,71.0526315789,64.6616541353,88.1578947368,81.2027067669,2.6315789474,3.7593759398,26.3157894737,34.5864661654,11.8421052632,15.7894736842,22.3684210526,22.5563909774,2.6315789474,3.7593984962
2.6.2.5.2,Ricercatori e tecnici laureati nelle scienze pedagogiche e psicologiche,23.8095238095,26.5306122449,34.5238095238,38.7755102041,11.9047619048,10.8843537415,5.9523809524,6.1224285714,30.9523809524,31.9727891156,22.619047619,21.768707483,0,0,0,0,38.0952380952,36.0544217687,1.1904761905,2.7210884354,1.1904761905,2.0408163265,0,0,0,0,47.619047619,48.2993197279,4.7619047619,5.4421564626,3.5714285714,5.4421564626,26.1904761905,19.7278911565,94.0476190476,87.7551020408,71.4285714286,70.0680272109,5.9523809524,10.2040612245,16.6666666667,16.3265306122,50,47.619047619,86.9047619048,76.8706122449,95.2380952381,88.4353741497,82.1428571429,82.3129251701,1.1904761905,2.0408163265,20.2380952381,19.0476190476,40.4761904762,44.2176870748,3.5714285714,6.8027006803,36.9047619048,34.0136054422,7.1428571429,7.4829931973,40.4761904762,43.537414966,3.5714285714,3.4013605442
2.6.2.6.0,Ricercatori e tecnici laureati nelle scienze economiche e statistiche,28.9473684211,30.8270676692,40.7894736842,49.6240601504,46.0526315789,42.8571428571,14.4736842105,21.0526315789,22.3684210526,24.0601503759,17.1052631579,18.7969924812,10.5263157895,13.5338345865,0,0,61.8421052632,60.9022556391,1.3157894737,1.5037368421,0,0,0,0,0,0,88.1578947368,83.4586466165,6.5789473684,9.022556391,1.3157894737,1.5037593985,10.5263157895,12.7819548872,26.3157894737,30.8270676692,42.1052631579,48.8721804511,10.5263157895,15.7894736842,5.2631578947,6.7669172932,0,0,75,71.4285714286,88.1578947368,80.4509774436,89.4736842105,80.4509774436,2.6315789474,3.007518797,14.4736842105,15.037593985,15.7894736842,20.3007518797,3.9473684211,3.007518797,34.2105263158,35.3383458647,11.8421052632,9.022556391,35.5263157895,36.8421052632,2.6315789474,4.5112781955
2.6.2.7.1,Ricercatori e tecnici laureati nelle scienze giuridiche,15,18.5714285714,32.5,30,22.5,22.1428571429,3.75,5,15,12.8571428571,25,28.5714285714,3.75,5,0,0,28.75,29.2857142857,5,5.7142642857,1.25,3.5714285714,0,0,0,0,8.75,12.8571428571,0,0,0,0,0,0,16.25,22.8571428571,22.5,25.7142857143,7.5,12.1428571429,3.75,2.8571428571,0,0,83.75,76.4285714286,97.5,87.8571428571,85,77.8571428571,6.25,8.5714285714,35,34.2857142857,33.75,38.5714285714,5,5.7142642857,98.75,85.7142857143,18.75,16.4285714286,30,33.5714285714,2.5,2.1428571429
2.6.2.7.2,Ricercatori e tecnici laureati nelle scienze politiche e sociali,31.25,35.7142857143,40,46.4285714286,10,15,6.25,10,31.25,36.4285714286,21.25,24.2857142857,6.25,7.8571428571,2.5,2.1428571429,37.5,37.8571428571,0,0,2.5,2.8571428571,0,0,0,0,27.5,31.4285714286,0,0,1.25,1.4285714286,1.25,2.8571428571,40,44.2857142857,63.75,62.8571428571,27.5,31.4285714286,1.25,2.1428571429,1.25,2.1428571429,78.75,79.2857142857,83.75,84.2857142857,77.5,77.8571428571,21.25,25,60,58.5714285714,51.25,59.2857142857,5,5.7142642857,60,59.2857142857,5,6.42855,35,40.7142857143,2.5,1.4285714286
2.6.3.1.1,Professori di discipline artistiche nelle accademie di belle arti e nelle istituzioni scolastiche assimilate,15,17.8571428571,16.25,21.4285714286,3.75,4.2856928571,6.25,7.1428357143,15,17.8571428571,21.25,24.2857142857,23.75,21.4285714286,0,0,28.75,28.5714285714,16.25,15,40,40,11.25,11.4285714286,6.25,7.1428571429,21.25,23.5714285714,23.75,23.5714285714,20,21.4285714286,11.25,12.8571428571,53.75,52.1428571429,42.5,42.8571428571,16.25,22.8571428571,5,7.1428571429,5,7.1428571429,62.5,59.2857142857,78.75,72.1428571429,66.25,64.2857142857,92.5,83.5712857143,72.5,68.5714285714,48.75,51.4285714286,18.75,16.4285714286,20,19.2857142857,17.5,13.5714285714,45,45.7142857143,5,7.1428357143
2.6.3.1.2,Professori di discipline musicali nei conservatori e nelle istituzioni scolastiche assimilate,13.0952380952,14.9659863946,14.2857142857,15.6462585034,9.5238095238,12.925170068,13.0952380952,10.8843537415,41.6666666667,40.1360544218,20.2380952381,18.3673469388,2.380952381,2.7210884354,0,0,33.3333333333,33.3333333333,2.380952381,2.7210680272,3.5714285714,4.0816326531,0,0,1.1904761905,2.7210884354,32.1428571429,34.0136054422,17.8571428571,16.3265306122,2.380952381,2.7210884354,1.1904761905,1.3605238095,66.6666666667,56.462585034,41.6666666667,34.0136054422,8.3333333333,12.2448979592,3.5714285714,4.0816326531,11.9047619048,12.925170068,76.1904761905,65.306122449,72.619047619,71.4285714286,52.380952381,55.1020408163,90.4761904762,80.2721088435,26.1904761905,28.5714285714,22.619047619,23.1292517007,3.5714285714,6.8027210884,22.619047619,19.0476190476,19.0476190476,16.3265306122,33.3333333333,30.612244898,3.5714285714,3.4013605442
2.6.3.1.3,Professori di arte drammatica e danza nelle accademie e nelle istituzioni scolastiche assimilate,21.0526315789,27.0676691729,25,25.5639097744,13.1578947368,12.030075188,18.4210526316,19.5488721805,38.1578947368,42.1052631579,31.5789473684,29.3233082707,13.1578947368,13.5338345865,0,0,14.4736842105,14.2857142857,3.9473684211,5.2631578947,9.2105263158,10.5263157895,2.6315789474,3.7593984962,3.9473684211,3.007518797,10.5263157895,11.2781954887,10.5263157895,9.022556391,3.9473684211,5.2631578947,14.4736842105,15.037593985,80.2631578947,68.4210526316,76.3157894737,70.6766917293,9.2105263158,12.030075188,10.5263157895,12.7819548872,19.7368421053,18.045112782,85.5263157895,78.1951879699,89.4736842105,77.4436090226,55.2631578947,58.6466165414,88.1578947368,83.4586466165,53.9473684211,54.8872180451,59.2105263158,56.3909774436,11.8421052632,9.7744360902,23.6842105263,22.5563909774,10.5263157895,9.022556391,53.9473684211,56.3909774436,2.6315789474,3.7593984962
2.6.3.2.1,"Professori di scienze matematiche, fisiche e chimiche nella scuola secondaria superiore",3.4090909091,2.5974025974,6.8181818182,7.1428571429,6.8181818182,9.0909090909,0,0,14.7727272727,16.8831168831,6.8181818182,5.1948051948,5.6818181818,5.8441558442,2.2727272727,2.5974025974,31.8181818182,31.1688311688,7.9545454545,9.7402597403,1.1363636364,1.2986818182,0,0,2.2727272727,2.5974025974,94.3181818182,81.8181818182,72.7272727273,57.7922077922,39.7727272727,40.9090909091,29.5454545455,27.2727272727,46.5909090909,45.4545454545,34.0909090909,35.0649350649,27.2727272727,31.8181818182,3.4090909091,3.8960844156,0,0,86.3636363636,70.7790909091,84.0909090909,69.4805194805,40.9090909091,45.4545454545,10.2272727273,9.0909090909,12.5,14.2857142857,10.2272727273,13.6363636364,18.1818181818,12.3376623377,13.6363636364,15.5844155844,11.3636363636,12.987012987,19.3181818182,17.5324675325,4.5454545455,5.1948051948
2.6.3.2.2,Professori di scienze della vita e della salute nella scuola secondaria superiore,0,0,3.75,6.4285714286,0,0,0,0,17.5,15.7142857143,1.25,1.42855,1.25,1.4285714286,2.5,2.1428571429,20,22.8571428571,2.5,4.2857142857,0,0,0,0,0,0,40,38.5714285714,52.5,45.7142857143,56.25,47.1428571429,65,55,46.25,48.5714285714,38.75,35.7142857143,36.25,39.2857142857,16.25,17.8571428571,0,0,75,58.5714285714,82.5,68.5712857143,43.75,44.2857142857,13.75,14.2857142857,16.25,17.8571428571,3.75,5.7142857143,15,13.5714285714,11.25,12.1428571429,11.25,14.2857142857,17.5,20,1.25,2.8571428571
2.6.3.2.3,Professori di discipline tecnico-ingegneristiche nella scuola secondaria superiore,15.2777777778,17.4603174603,19.4444444444,21.4285714286,15.2777777778,14.2857142857,13.8888888889,15.873015873,33.3333333333,38.0952380952,16.6666666667,17.4603174603,13.8888888889,15.873015873,2.7777777778,0.7936507937,55.5555555556,53.1746031746,72.2222222222,65.873015873,58.3333333333,55.5555555556,30.5555555556,26.9841269841,26.3888888889,26.9841269841,70.8333333333,70.6349206349,55.5555555556,50,40.2777777778,38.8888888889,4.1666666667,2.3809285714,36.1111111111,37.3015873016,27.7777777778,26.9841269841,12.5,11.9047619048,2.7777777778,3.1745555556,1.3888888889,3.1746031746,69.4444444444,61.9047619048,69.4444444444,61.9047619048,48.6111111111,47.619047619,18.0555555556,18.253968254,13.8888888889,14.2857142857,12.5,10.3174603175,20.8333333333,25.3968253968,20.8333333333,26.9841269841,23.6111111111,23.0158730159,20.8333333333,27.7777777778,23.6111111111,27.7777777778
2.6.3.2.4,Professori di scienze dell'informazione nella scuola secondaria superiore,13.75,18.5714285714,15,20,18.75,20,3.75,6.4285714286,18.75,23.5714285714,7.5,10,5,7.1428357143,0,0,85,75.7141428571,28.75,32.8571428571,16.25,20.7142857143,0,0,5,9.9999785714,68.75,64.2857142857,30,27.1428571429,7.5,7.8571428571,6.25,7.1428571429,31.25,29.2857142857,22.5,25,3.75,4.2856928571,1.25,0.7142857143,2.5,4.2857142857,62.5,51.4285714286,67.5,58.5714285714,50,52.1428571429,3.75,3.5714285714,6.25,8.5714285714,3.75,4.2857142857,6.25,7.8571214286,16.25,15,22.5,20,30,30,1.25,2.8571428571
2.6.3.2.5,"Professori di scienze letterarie, artistiche, storiche, filosofiche, pedagogiche e psicologiche nella scuola secondaria superiore",11.9565217391,7.4534161491,3.2608695652,3.726689441,3.2608695652,4.347826087,2.1739130435,2.4844347826,26.0869565217,32.298136646,14.1304347826,13.6645962733,6.5217391304,7.4533975155,0,0,15.2173913043,14.2857142857,2.1739130435,2.4844720497,3.2608695652,3.726689441,2.1739130435,1.8633540373,1.0869565217,1.2422360248,7.6086956522,9.3167701863,6.5217391304,9.3167701863,6.5217391304,6.8322981366,6.5217391304,8.6956521739,60.8695652174,60.8695652174,45.652173913,44.7204968944,40.2173913043,44.7204968944,3.2608695652,4.347826087,10.8695652174,10.5590062112,94.5652173913,81.3664596273,96.7391304348,85.0931677019,57.6086956522,59.6273291925,54.347826087,47.2049689441,76.0869565217,65.2173913043,66.3043478261,65.8385093168,22.8260869565,23.602484472,27.1739130435,31.0559006211,14.1304347826,16.149068323,30.4347826087,36.6459627329,3.2608695652,4.9689440994
2.6.3.2.6,"Professori di scienze giuridiche, economiche e sociali nella scuola secondaria superiore",25,18.2857142857,15,12.5714285714,46,34.2857142857,13,17.1428571429,16,18.2857142857,14,13.1428571429,13,13.1428571429,0,0,22,20.5714285714,2,1.7142857143,0,0,2,1.1428571429,1,1.1428571429,31,28.5714285714,1,1.1428571429,3,3.4285714286,1,1.1428571429,27,27.4285714286,26,29.7142857143,18,21.1428571429,0,0,2,1.7142857143,76,62.2857142857,85,73.1427428571,49,44,4,4,20,25.1428571429,8,9.7142685714,24,26.8571428571,71,58.2857142857,9,9.1428571429,17,17.1428571429,3,4
2.6.3.3.1,Professori di discipline umanistiche nella scuola secondaria inferiore,2.380952381,4.0816326531,14.2857142857,12.925170068,3.5714285714,2.7210884354,2.380952381,3.4013605442,33.3333333333,32.6530612245,5.9523809524,7.4829931973,0,0,2.380952381,2.0408163265,25,28.5714285714,0,0,0,0,1.1904761905,2.0408163265,0,0,19.0476190476,20.4081632653,9.5238095238,8.1632653061,5.9523809524,7.4829931973,7.1428571429,8.1632653061,61.9047619048,51.0204081633,57.1428571429,47.619047619,70.2380952381,67.3469387755,1.1904761905,1.3605442177,5.9523809524,6.1224489796,91.6666666667,78.2311564626,96.4285714286,81.6326530612,52.380952381,46.2585034014,42.8571428571,35.3741496599,71.4285714286,64.6258503401,32.1428571429,37.4149659864,30.9523809524,25.8503401361,42.8571428571,42.8571428571,4.7619047619,4.0816122449,33.3333333333,33.3333333333,10.7142857143,10.2040816327
2.6.3.3.2,Professori di discipline tecniche e scientifiche nella scuola secondaria inferiore,8.3333333333,10.2040816327,8.3333333333,12.925170068,5.9523809524,10.2040816327,0,0,32.1428571429,35.3741496599,10.7142857143,9.5238095238,1.1904761905,1.3605238095,1.1904761905,1.3605238095,40.4761904762,40.1360544218,13.0952380952,14.2857142857,21.4285714286,19.0476190476,2.380952381,3.4013605442,13.0952380952,12.2448979592,89.2857142857,74.8296598639,66.6666666667,61.2244897959,66.6666666667,62.5850340136,72.619047619,61.2244897959,64.2857142857,58.5034013605,46.4285714286,49.6598639456,38.0952380952,40.1360544218,10.7142857143,12.2448979592,8.3333333333,8.1632653061,83.3333333333,76.8706122449,78.5714285714,68.0272108844,46.4285714286,42.8571428571,11.9047619048,13.6054421769,22.619047619,21.768707483,17.8571428571,21.768707483,23.8095238095,26.5306122449,44.0476190476,40.1360544218,17.8571428571,16.3265306122,29.7619047619,31.2925170068,5.9523809524,7.4829931973
2.6.4.1.0,Professori di scuola primaria,4.5454545455,5.8441363636,5.6818181818,5.8441558442,0,0,0,0,19.3181818182,18.8311688312,5.6818181818,6.493487013,3.4090909091,2.5974025974,0,0,5.6818181818,7.7921883117,0,0,0,0,0,0,0,0,52.2727272727,42.8571428571,11.3636363636,11.038961039,12.5,11.6883116883,31.8181818182,29.8701298701,56.8181818182,42.2077922078,45.4545454545,40.2597402597,44.3181818182,46.7532467532,10.2272727273,8.4415584416,4.5454545455,4.5454350649,72.7272727273,57.1428571429,85.2272727273,74.0258441558,50,45.4545454545,42.0454545455,42.2077922078,57.9545454545,58.4415584416,28.4090909091,27.2727272727,31.8181818182,22.0779220779,19.3181818182,13.6363636364,4.5454545455,3.2467337662,11.3636363636,13.6363636364,4.5454545455,4.5454350649
2.6.4.2.0,Professori di scuola pre-primaria,17.1052631579,15.7894736842,14.4736842105,14.2857142857,5.2631578947,4.5112781955,3.9473684211,6.015037594,53.9473684211,54.8872180451,14.4736842105,15.037593985,2.6315789474,1.5037593985,3.9473684211,3.007518797,11.8421052632,11.2781954887,0,0,0,0,0,0,0,0,10.5263157895,11.2781954887,2.6315789474,2.2556390977,3.9473684211,3.7593984962,6.5789473684,4.5112781955,68.4210526316,63.9097744361,56.5789473684,45.8646616541,13.1578947368,17.2932330827,23.6842105263,22.5563909774,21.0526315789,23.3082706767,71.0526315789,60.1503759398,81.5789473684,60.9022556391,30.2631578947,33.0827067669,43.4210526316,37.5939849624,13.1578947368,14.2857142857,5.2631578947,5.2631353383,6.5789473684,6.7668947368,19.7368421053,20.3007518797,5.2631578947,3.7593984962,19.7368421053,18.045112782,1.3157894737,1.5037593985
2.6.5.1.0,Specialisti nell’educazione e nella formazione di soggetti diversamente abili,3.75,5,11.25,12.8571428571,0,0,0,0,30,29.2857142857,3.75,4.9999785714,1.25,1.42855,0,0,11.25,10.7142857143,0,0,0,0,0,0,0,0,35,32.8571428571,5,5.7142857143,5,5.7142857143,18.75,15.7142857143,66.25,58.5714285714,52.5,44.2857142857,33.75,37.8571428571,3.75,2.8571428571,28.75,27.8571428571,86.25,67.857,86.25,67.1428571429,35,33.5714285714,35,30.7142857143,42.5,42.8571428571,20,21.4285714286,22.5,17.1428571429,13.75,10,5,2.8571428571,7.5,7.1428357143,2.5,0.7142857143
2.6.5.2.0,Ispettori scolastici e professioni assimilate,67.1052631579,66.9172932331,67.1052631579,69.1729323308,26.3157894737,27.8195488722,9.2105263158,15.037593985,61.8421052632,63.1578947368,59.2105263158,60.1503759398,15.7894736842,21.8045112782,0,0,26.3157894737,22.5563909774,6.5789473684,7.5187744361,11.8421052632,12.7819548872,3.9473684211,3.0074962406,0,0,51.3157894737,58.6466165414,21.0526315789,20.3007518797,15.7894736842,15.7894736842,11.8421052632,9.7744360902,85.5263157895,80.4511278195,77.6315789474,76.6917293233,26.3157894737,30.0751879699,6.5789473684,5.2631578947,15.7894736842,13.5338345865,96.0526315789,89.4736842105,88.1578947368,86.4661654135,76.3157894737,78.9473684211,23.6842105263,20.3007518797,43.4210526316,47.3684210526,51.3157894737,55.6390977444,56.5789473684,54.1353383459,90.7894736842,84.9622556391,27.6315789474,25.5639097744,48.6842105263,46.6165413534,9.2105263158,9.7744360902
2.6.5.3.1,Docenti della formazione e dell'aggiornamento professionale,25,20.4081632653,17.8571428571,18.3673469388,10.7142857143,10.2040816327,27.380952381,26.5306122449,46.4285714286,42.1768707483,35.7142857143,29.9319727891,14.2857142857,15.6462585034,4.7619047619,6.8027210884,15.4761904762,19.7278911565,2.380952381,2.7210680272,1.1904761905,1.3605238095,0,0,3.5714285714,4.0816122449,19.0476190476,19.7278911565,10.7142857143,10.2040816327,11.9047619048,13.6054421769,15.4761904762,15.6462585034,47.619047619,46.2585034014,42.8571428571,38.7755102041,5.9523809524,6.1224285714,15.4761904762,13.6054421769,10.7142857143,9.5238095238,79.7619047619,70.7482993197,76.1904761905,72.1088435374,48.8095238095,46.9387755102,5.9523809524,9.5238095238,11.9047619048,14.9659863946,11.9047619048,14.2857142857,14.2857142857,13.6054421769,41.6666666667,39.4557823129,17.8571428571,16.3265306122,27.380952381,24.4897959184,3.5714285714,4.0816326531
2.6.5.3.2,Esperti della progettazione formativa e curricolare,64,61.1428571429,46,49.1428571429,21,25.7142857143,31,33.7142857143,66,64,63,56.5714285714,28,28,1,1.1428571429,32,30.8571428571,11,13.7142857143,6,8.5714114286,1,1.1428571429,3,4.5714114286,22,24,3,3.4285542857,2,1.7142857143,1,1.1428571429,54,48.5714285714,39,42.2857142857,4,5.7142857143,3,2.8571428571,12,14.2857142857,86,78.8570285714,81,73.7142857143,55,53.7142857143,6,5.7142685714,5,4.5714285714,10,10.8571428571,13,14.2857142857,40,39.4285714286,22,21.1428571429,40,37.1428571429,6,8.5714114286
2.6.5.4.0,Consiglieri dell'orientamento,30.2631578947,30.0751879699,40.7894736842,42.1052631579,25,24.8120300752,35.5263157895,34.5864661654,73.6842105263,60.9022556391,43.4210526316,36.0902255639,14.4736842105,15.037593985,1.3157894737,1.5037593985,28.9473684211,30.0751879699,5.2631578947,6.7668947368,1.3157894737,1.5037593985,1.3157894737,1.5037593985,1.3157894737,1.5037593985,21.0526315789,18.045112782,5.2631578947,4.5112781955,3.9473684211,4.5112781955,3.9473684211,4.5112781955,84.2105263158,74.4360902256,68.4210526316,62.4060150376,15.7894736842,18.045112782,3.9473684211,4.5112781955,44.7368421053,38.3458646617,88.1578947368,80.4509774436,81.5789473684,66.1654135338,43.4210526316,45.8646616541,6.5789473684,8.2706766917,11.8421052632,16.5413533835,26.3157894737,33.0827067669,11.8421052632,15.037593985,40.7894736842,38.3458646617,11.8421052632,9.7744360902,28.9473684211,31.5789473684,3.9473684211,4.5112781955
2.6.5.5.1,Insegnanti di arti figurative,16.25,18.5714285714,17.5,20,10,11.4285714286,33.75,36.4285714286,58.75,59.2857142857,18.75,17.1428571429,26.25,24.2857142857,1.25,2.8571428571,31.25,31.4285714286,11.25,13.5714285714,13.75,17.1428571429,3.75,6.4285285714,1.25,2.8571428571,30,31.4285714286,25,23.5714285714,28.75,29.2857142857,15,16.4285714286,56.25,55,50,52.1428571429,23.75,25.7142857143,1.25,2.8571428571,0,0,85,76.4282857143,78.75,70.7142857143,56.25,53.5714285714,91.25,79.2857142857,56.25,58.5714285714,28.75,36.4285714286,6.25,7.8571214286,16.25,19.2857142857,17.5,15,32.5,32.1428571429,5,5.7142857143
2.6.5.5.2,Insegnanti di danza,22.1153846154,22.5274725275,14.4230769231,19.7802197802,4.8076923077,4.9450549451,25,30.2197802198,56.7307692308,55.4945054945,22.1153846154,24.7252747253,5.7692307692,7.1428406593,0,0,6.7307692308,9.3406593407,0.9615384615,1.0989010989,0.9615384615,2.7472527473,0.9615384615,2.1978021978,0.9615384615,0.5494505495,16.3461538462,19.7802197802,6.7307692308,7.1428406593,1.9230769231,2.1978021978,5.7692307692,5.4945054945,57.6923076923,53.2967032967,26.9230769231,30.2197802198,3.8461538462,9.3406593407,9.6153846154,12.6373626374,7.6923076923,10.4395604396,58.6538461538,56.043956044,68.2692307692,60.4395604396,47.1153846154,45.6043956044,86.5384615385,76.3734065934,17.3076923077,19.2307692308,10.5769230769,13.7362637363,6.7307692308,7.1428571429,7.6923076923,11.5384615385,8.6538461538,9.8901098901,25,29.1208791209,2.8846153846,4.9450549451
2.6.5.5.3,Insegnanti di canto,10.5263157895,12.030075188,11.8421052632,20.3007518797,1.3157894737,1.5037593985,13.1578947368,18.045112782,40.7894736842,42.1052631579,2.6315789474,4.5112781955,0,0,0,0,14.4736842105,19.5488721805,0,0,0,0,0,0,0,0,19.7368421053,19.5488721805,3.9473684211,4.5112781955,0,0,6.5789473684,8.2706766917,48.6842105263,43.6090225564,34.2105263158,35.3383458647,5.2631578947,11.2781954887,9.2105263158,11.2781954887,2.6315789474,2.2556390977,65.7894736842,61.6541353383,72.3684210526,67.6691729323,60.5263157895,57.8947368421,84.2105263158,69.9248120301,25,29.3233082707,9.2105263158,12.7819548872,9.2105263158,10.5263157895,3.9473684211,5.2631578947,11.8421052632,9.7744360902,22.3684210526,29.3233082707,0,0
2.6.5.5.4,Insegnanti di strumenti musicali,27.380952381,28.5714285714,14.2857142857,17.6870748299,13.0952380952,14.9659863946,21.4285714286,21.0884353741,54.7619047619,53.7414965986,19.0476190476,20.4081632653,10.7142857143,10.8843537415,1.1904761905,1.3605442177,29.7619047619,34.0136054422,3.5714285714,5.4421768707,1.1904761905,1.3605238095,0,0,4.7619047619,4.7618843537,26.1904761905,26.5306122449,15.4761904762,15.6462585034,1.1904761905,1.3605442177,1.1904761905,1.3605442177,42.8571428571,39.4557823129,34.5238095238,34.693877551,3.5714285714,6.8027210884,4.7619047619,5.4421768707,4.7619047619,7.4829931973,73.8095238095,62.5850340136,71.4285714286,69.387755102,47.619047619,44.2176870748,90.4761904762,80.952244898,28.5714285714,28.5714285714,22.619047619,23.8095238095,7.1428571429,8.1632653061,22.619047619,21.768707483,22.619047619,21.0884353741,32.1428571429,32.6530612245,4.7619047619,6.1224285714
2.6.5.5.5,Insegnanti di lingue,5,7.1428571429,15,15.7142857143,3.75,4.2857142857,6.25,8.5714071429,48.75,47.1428571429,8.75,9.2857142857,2.5,2.8571428571,0,0,13.75,16.4285714286,0,0,0,0,0,0,0,0,2.5,1.4285714286,0,0,0,0,1.25,0.7142857143,41.25,37.8571428571,41.25,40,11.25,16.4285714286,2.5,2.8571428571,5,5.7142857143,87.5,80.7142857143,60,63.5714285714,98.75,91.4285714286,11.25,9.2857142857,15,15,3.75,5.7142857143,2.5,2.8571428571,2.5,3.5714285714,8.75,7.1428571429,13.75,16.4285714286,2.5,2.1428571429
3.1.1.1.1,Tecnici geologici,20.8333333333,24.6031746032,30.5555555556,36.5079365079,2.7777777778,3.9682539683,13.8888888889,17.4603174603,43.0555555556,44.4444444444,6.9444444444,9.5238095238,23.6111111111,23.8095238095,0,0,40.2777777778,43.6507936508,55.5555555556,61.1111111111,44.4444444444,45.2380952381,47.2222222222,41.2698412698,15.2777777778,16.6666666667,54.1666666667,59.5238095238,55.5555555556,55.5555555556,52.7777777778,53.9682539683,19.4444444444,25.3968253968,6.9444444444,7.9365079365,4.1666666667,5.5555555556,59.7222222222,67.4603174603,4.1666666667,5.5555555556,0,0,11.1111111111,11.1111111111,63.8888888889,61.9047619048,54.1666666667,57.1428571429,1.3888888889,2.380952381,11.1111111111,11.9047619048,2.7777777778,3.1745793651,44.4444444444,42.0634920635,43.0555555556,40.4761904762,16.6666666667,12.6984126984,8.3333333333,7.9365079365,11.1111111111,12.6984126984
3.1.1.1.2,Tecnici fisici e nucleari,21.25,25.7142857143,35,38.5714285714,16.25,17.1428571429,0,0,1.25,1.4285714286,21.25,20.7142857143,55,49.2857142857,0,0,88.75,77.857,68.75,65.7142857143,80,72.8571428571,12.5,11.4285714286,47.5,48.5714285714,72.5,70.7142857143,83.75,74.9998571429,41.25,42.8571428571,7.5,10.7142857143,15,16.4285714286,7.5,7.8571214286,6.25,8.5714285714,5,7.8571428571,3.75,5.7142857143,27.5,28.5714285714,68.75,57.8571428571,77.5,70.7142857143,1.25,2.1428571429,3.75,4.2857142857,3.75,7.1428571429,25,27.1428571429,28.75,27.8571428571,27.5,22.1428571429,13.75,12.8571428571,6.25,8.5714285714
