up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
1.1.1.1.0,Membri di organismi di governo e di assemblee nazionali con potestà legislativa e regolamentare,75,75,90,85,75,80,35,55,60,55,70,65,65,80,85,50,75,0,80,100,80
1.1.1.2.0,Membri di organismi di governo e di assemblee regionali e di Province autonome con potestà legislativa e regolamentare,76.6666666667,81.6666666667,86.6666666667,55,78.3333333333,88.3333333333,33.3333333333,78.3333333333,76.6666666667,76.6666666667,78.3333333333,76.6666666667,70,85,90,86.6666666667,60,56.6666666667,78.3333333333,63.3333333333,65
1.1.1.3.0,Membri di organismi di governo e di assemblee provinciali con potestà regolamentare,80,78.75,88.75,51.25,86.25,77.5,32.5,63.75,53.75,56.25,78.75,67.5,68.75,87.5,83.75,73.4375,62.5,56.25,78.75,64.0625,72.5
1.1.1.4.0,Membri di organismi di governo e di assemblee sub-provinciali e comunali con potestà regolamentare,82.8947368421,75,85.5263157895,39.4736842105,71.0526315789,30.2631578947,7.8947368421,50,53.9473684211,47.3684210526,77.6315789474,64.4736842105,60.5263157895,92.1052631579,90.7894736842,80,56.6666666667,53.3333333333,80.2631578947,60,61.8421052632
1.1.2.1.0,"Ambasciatori, ministri plenipotenziari ed altri dirigenti della carriera diplomatica",89.2857142857,87.5,94.6428571429,44.6428571429,87.5,78.5714285714,89.2857142857,89.2857142857,85.7142857143,73.2142857143,91.0714285714,78.5714285714,75,85.7142857143,87.5,76.7857142857,76.7857142857,76.7857142857,76.7857142857,64.2857142857,64.2857142857
1.1.2.2.1,"Commissari di governo, prefetti e vice prefetti",81.5217391304,88.0434782609,93.4782608696,56.5217391304,86.9565217391,71.7391304348,90.2173913043,86.9565217391,77.1739130435,77.1739130435,93.4782608696,92.3913043478,77.1739130435,92.3913043478,90.2173913043,82.6086956522,85.8695652174,69.5652173913,69.5652173913,65.2173913043,73.9130434783
1.1.2.2.2,"Capi e vice capi della polizia di Stato, questori ed alti responsabili della sicurezza pubblica",90.4761904762,91.6666666667,97.619047619,48.8095238095,79.7619047619,65.4761904762,98.8095238095,91.6666666667,85.7142857143,84.5238095238,100,90.4761904762,88.0952380952,97.619047619,90.4761904762,88.0952380952,82.1428571429,78.5714285714,78.5714285714,83.3333333333,89.2857142857
1.1.2.2.3,Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica,82.5,80,91.25,65,88.75,77.5,51.25,62.5,61.25,65,90,80,67.5,90,87.5,76.25,67.5,56.25,71.25,67.5,77.5
1.1.2.3.1,Direttori degli uffici scolastici territoriali ed equiparati,86.25,82.5,95,58.75,85,61.25,80,68.75,58.75,65,87.5,80,75,87.5,82.5,67.5,68.75,61.25,73.75,72.5,73.75
1.1.2.3.2,Sovrintendenti al patrimonio culturale nazionale,81.25,75,85.9375,60.9375,85.9375,53.125,82.8125,68.75,53.125,53.125,89.0625,78.125,78.125,84.375,84.375,59.375,65.625,51.5625,75,67.1875,82.8125
1.1.2.4.1,"Direttori generali, dipartimentali ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",75,87.5,95.8333333333,58.3333333333,79.1666666667,75,75,66.6666666667,58.3333333333,62.5,87.5,79.1666666667,70.8333333333,83.3333333333,87.5,79.1666666667,54.1666666667,41.6666666667,70.8333333333,62.5,66.6666666667
1.1.2.4.2,"Rettori di università, direttori di istituzioni dell’Alta Formazione e di enti di ricerca",93.0555555556,75,94.4444444444,47.2222222222,88.8888888889,73.6111111111,80.5555555556,81.9444444444,31.9444444444,69.4444444444,93.0555555556,86.1111111111,73.6111111111,91.6666666667,93.0555555556,80.8823529412,64.7058823529,48.5294117647,90.2777777778,86.7647058824,86.1111111111
1.1.2.4.3,Direttori generali ed equiparati nella sanità,88.2352941176,82.3529411765,94.1176470588,57.3529411765,86.7647058824,57.3529411765,51.4705882353,64.7058823529,54.4117647059,57.3529411765,92.6470588235,76.4705882353,69.1176470588,85.2941176471,83.8235294118,73.4375,62.5,54.6875,66.1764705882,70.3125,83.8235294118
1.1.2.5.0,Dirigenti scolastici ed equiparati,85.4166666667,78.125,86.4583333333,41.6666666667,81.25,45.8333333333,58.3333333333,79.1666666667,31.25,63.5416666667,93.75,78.125,75,92.7083333333,89.5833333333,75,54.5454545455,53.4090909091,80.2083333333,72.7272727273,75
1.1.2.6.1,"Dirigenti ed equiparati delle amministrazioni dello Stato, degli enti pubblici non economici e degli enti locali",79.4117647059,69.1176470588,89.7058823529,66.1764705882,85.2941176471,45.5882352941,76.4705882353,60.2941176471,45.5882352941,44.1176470588,91.1764705882,73.5294117647,67.6470588235,79.4117647059,79.4117647059,58.8235294118,52.9411764706,47.0588235294,66.1764705882,69.1176470588,66.1764705882
1.1.2.6.2,Dirigenti ed equiparati delle università e degli enti di ricerca,85.5263157895,84.2105263158,90.7894736842,52.6315789474,88.1578947368,63.1578947368,75,81.5789473684,63.1578947368,71.0526315789,89.4736842105,75,76.3157894737,88.1578947368,85.5263157895,75,69.7368421053,55.2631578947,80.2631578947,76.3157894737,81.5789473684
1.1.2.6.3,Dirigenti ed equiparati nella sanità,82,76,91,50,79,57,73,76,65,58,88,77,76,85,88,74,71,59,65,74,78
1.1.3.1.0,Dirigenti della magistratura ordinaria,85.2941176471,88.2352941176,92.6470588235,67.6470588235,79.4117647059,85.2941176471,92.6470588235,77.9411764706,80.8823529412,70.5882352941,85.2941176471,82.3529411765,83.8235294118,80.8823529412,91.1764705882,80,75,66.6666666667,72.0588235294,78.3333333333,85.2941176471
1.1.3.2.0,Dirigenti della magistratura amministrativa e delle giurisdizioni speciali,84.2105263158,81.5789473684,89.4736842105,69.7368421053,78.9473684211,82.8947368421,92.1052631579,88.1578947368,57.8947368421,72.3684210526,88.1578947368,81.5789473684,76.3157894737,81.5789473684,88.1578947368,75,58.3333333333,54.1666666667,65.7894736842,76.3888888889,69.7368421053
1.1.4.1.1,Dirigenti di partiti e movimenti politici,78.9473684211,72.3684210526,77.6315789474,65.7894736842,71.0526315789,43.4210526316,34.2105263158,71.0526315789,60.5263157895,63.1578947368,78.9473684211,72.3684210526,76.3157894737,85.5263157895,85.5263157895,76.9230769231,71.1538461538,57.6923076923,77.6315789474,69.2307692308,65.7894736842
1.1.4.1.2,Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali,86.25,83.75,92.5,72.5,82.5,51.25,53.75,75,70,76.25,90,81.25,77.5,91.25,90,92.8571428571,91.0714285714,76.7857142857,90,83.9285714286,83.75
1.1.4.2.0,"Dirigenti di associazioni umanitarie, culturali, scientifiche e sportive di interesse nazionale o sovranazionale",84.2105263158,86.8421052632,93.4210526316,55.2631578947,85.5263157895,47.3684210526,47.3684210526,76.3157894737,39.4736842105,65.7894736842,88.1578947368,75,73.6842105263,90.7894736842,90.7894736842,79.6875,78.125,54.6875,80.2631578947,73.4375,76.3157894737
1.2.1.1.0,"Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",76.3157894737,78.9473684211,85.5263157895,61.8421052632,81.5789473684,52.6315789474,65.7894736842,77.6315789474,46.0526315789,65.7894736842,84.2105263158,65.7894736842,72.3684210526,72.3684210526,84.2105263158,75,75,58.3333333333,80.2631578947,75,81.5789473684
1.2.1.2.0,"Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti",77.5,82.5,93.75,62.5,77.5,68.75,53.75,75,45,70,92.5,85,77.5,73.75,81.25,81.25,81.25,75,80,50,85
1.2.1.3.0,Imprenditori e amministratori di grandi aziende di costruzioni,82.1428571429,79.7619047619,92.8571428571,58.3333333333,80.9523809524,66.6666666667,44.0476190476,66.6666666667,59.5238095238,63.0952380952,88.0952380952,79.7619047619,65.4761904762,76.1904761905,82.1428571429,75,58.3333333333,50,79.7619047619,66.6666666667,84.5238095238
1.2.1.4.0,Imprenditori e amministratori di grandi aziende nel commercio,78.9473684211,78.9473684211,82.8947368421,55.2631578947,60.5263157895,61.8421052632,51.3157894737,65.7894736842,44.7368421053,57.8947368421,80.2631578947,68.4210526316,71.0526315789,78.9473684211,78.9473684211,77.5,70,65,67.1052631579,65,76.3157894737
1.2.1.5.0,Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione,88.1578947368,85.5263157895,90.7894736842,48.6842105263,85.5263157895,68.4210526316,63.1578947368,80.2631578947,59.2105263158,65.7894736842,89.4736842105,81.5789473684,75,84.2105263158,81.5789473684,85,65,65,84.2105263158,70,84.2105263158
1.2.1.6.1,Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio,80,72.5,86.25,61.25,78.75,52.5,38.75,67.5,45,62.5,90,76.25,66.25,80,76.25,77.7777777778,72.2222222222,55.5555555556,77.5,50,81.25
1.2.1.6.2,"Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",88.75,86.25,90,55,82.5,81.25,52.5,85,42.5,78.75,95,86.25,76.25,82.5,87.5,81.8181818182,68.1818181818,61.3636363636,82.5,86.3636363636,86.25
1.2.1.6.3,Imprenditori e amministratori di grandi aziende nei servizi informatici e di telecomunicazione,81.6666666667,80,86.6666666667,68.3333333333,73.3333333333,70,40,71.6666666667,51.6666666667,70,85,73.3333333333,68.3333333333,78.3333333333,78.3333333333,79.1666666667,79.1666666667,58.3333333333,80,79.1666666667,90
1.2.1.7.0,"Imprenditori e amministratori di grandi banche, assicurazioni, agenzie immobiliari, di intermediazione finanziaria",84.5238095238,86.9047619048,92.8571428571,48.8095238095,86.9047619048,83.3333333333,50,80.9523809524,47.619047619,73.8095238095,94.0476190476,80.9523809524,73.8095238095,82.1428571429,80.9523809524,83.9285714286,66.0714285714,67.8571428571,72.619047619,75,80.9523809524
1.2.1.8.0,Imprenditori e amministratori di grandi aziende nei servizi alle imprese e alle persone,85,80,91.6666666667,56.6666666667,83.3333333333,75,36.6666666667,78.3333333333,48.3333333333,78.3333333333,85,86.6666666667,75,70,80,86.1111111111,69.4444444444,50,75,83.3333333333,78.3333333333
1.2.1.9.1,"Imprenditori e amministratori di grandi istituti scolastici, universitari e di ricerca privati",88.3333333333,90,98.3333333333,58.3333333333,86.6666666667,61.6666666667,51.6666666667,88.3333333333,45,76.6666666667,83.3333333333,83.3333333333,80,90,93.3333333333,91.6666666667,72.9166666667,58.3333333333,86.6666666667,66.6666666667,81.6666666667
1.2.1.9.2,"Imprenditori e amministratori di grandi ospedali, cliniche private o grandi aziende di assistenza sociale",82.1428571429,79.7619047619,83.3333333333,54.7619047619,70.2380952381,52.380952381,52.380952381,78.5714285714,39.2857142857,72.619047619,84.5238095238,82.1428571429,75,88.0952380952,86.9047619048,85,73.3333333333,68.3333333333,75,73.3333333333,76.1904761905
1.2.1.9.3,"Imprenditori e amministratori di grandi aziende nel settore delle attività sportive, ricreative, di intrattenimento e di divertimento",70.5882352941,70.5882352941,83.8235294118,41.1764705882,69.1176470588,48.5294117647,41.1764705882,77.9411764706,38.2352941176,54.4117647059,85.2941176471,66.1764705882,69.1176470588,73.5294117647,73.5294117647,75,68.75,62.5,77.9411764706,68.75,77.9411764706
1.2.2.1.0,"Direttori e dirigenti generali di aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",85,75,85,75,80,70,80,75,55,80,85,75,80,80,80,75,75,75,75,50,75
1.2.2.2.0,"Direttori e dirigenti generali di aziende che operano nella manifattura, nell'estrazione dei minerali, nella produzione e distribuzione di energia elettrica, gas, acqua e nelle attività di gestione dei rifiuti",78.5714285714,79.7619047619,92.8571428571,60.7142857143,69.0476190476,71.4285714286,53.5714285714,71.4285714286,55.9523809524,64.2857142857,85.7142857143,72.619047619,66.6666666667,71.4285714286,73.8095238095,81.8181818182,63.6363636364,47.7272727273,66.6666666667,65.9090909091,76.1904761905
1.2.2.3.0,Direttori e dirigenti generali di aziende nelle costruzioni,72.5,75,90,61.25,78.75,71.25,52.5,72.5,62.5,60,81.25,73.75,68.75,71.25,76.25,76.7857142857,66.0714285714,55.3571428571,71.25,66.0714285714,78.75
1.2.2.4.0,Direttori e dirigenti generali di aziende nel commercio,75,76.25,92.5,50,70,58.75,56.25,76.25,60,66.25,80,83.75,65,77.5,80,78.8461538462,67.3076923077,73.0769230769,58.75,53.8461538462,71.25
1.2.2.5.0,Direttori e dirigenti generali di aziende nel settore dei servizi di alloggio e ristorazione,85,81.25,92.5,77.5,77.5,58.75,57.5,75,56.25,67.5,91.25,80,67.5,78.75,75,77.7777777778,69.4444444444,50,81.25,72.2222222222,80
1.2.2.6.1,Direttori e dirigenti generali di aziende nel settore dei trasporti e magazzinaggio,82.3529411765,75,83.8235294118,67.6470588235,64.7058823529,64.7058823529,54.4117647059,75,48.5294117647,64.7058823529,82.3529411765,69.1176470588,67.6470588235,79.4117647059,79.4117647059,71.4285714286,58.9285714286,55.3571428571,64.7058823529,55.3571428571,69.1176470588
1.2.2.6.2,"Direttori e dirigenti generali di aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",88.75,88.75,92.5,67.5,93.75,87.5,57.5,83.75,60,81.25,87.5,87.5,83.75,87.5,92.5,88.3333333333,66.6666666667,58.3333333333,83.75,81.6666666667,87.5
1.2.2.6.3,Direttori e dirigenti generali di aziende nei servizi informatici e di telecomunicazione,84.0909090909,77.2727272727,90.9090909091,72.7272727273,81.8181818182,79.5454545455,61.3636363636,84.0909090909,63.6363636364,75,84.0909090909,79.5454545455,68.1818181818,77.2727272727,84.0909090909,75,66.6666666667,63.8888888889,86.3636363636,77.7777777778,81.8181818182
1.2.2.7.0,"Direttori e dirigenti generali di banche, assicurazioni, agenzie immobiliari e di intermediazione finanziaria",89.7727272727,87.5,94.3181818182,55.6818181818,84.0909090909,81.8181818182,52.2727272727,71.5909090909,73.8636363636,68.1818181818,92.0454545455,72.7272727273,72.7272727273,79.5454545455,79.5454545455,79.7619047619,71.4285714286,60.7142857143,75,72.619047619,82.9545454545
1.2.2.8.0,Direttori e dirigenti generali di aziende di servizi alle imprese e alle persone,81.25,75,93.75,54.1666666667,85.4166666667,81.25,41.6666666667,72.9166666667,62.5,68.75,95.8333333333,81.25,70.8333333333,89.5833333333,77.0833333333,81.25,79.1666666667,62.5,77.0833333333,68.75,83.3333333333
1.2.2.9.0,"Direttori e dirigenti generali di aziende nel settore delle attività sportive, ricreative, di intrattenimento e divertimento",82.8947368421,78.9473684211,89.4736842105,61.8421052632,73.6842105263,52.6315789474,40.7894736842,73.6842105263,48.6842105263,67.1052631579,82.8947368421,80.2631578947,73.6842105263,77.6315789474,76.3157894737,75,69.2307692308,46.1538461538,75,69.2307692308,75
1.2.3.1.0,Direttori e dirigenti del dipartimento finanza ed amministrazione,86.2068965517,81.0344827586,88.7931034483,56.0344827586,84.4827586207,75.8620689655,68.1034482759,79.3103448276,62.9310344828,77.5862068966,88.7931034483,83.6206896552,73.275862069,76.724137931,83.6206896552,78.8461538462,75,60.5769230769,68.9655172414,75,78.4482758621
1.2.3.2.0,"Direttori e dirigenti del dipartimento organizzazione, gestione delle risorse umane e delle relazioni industriali",82.4074074074,79.6296296296,90.7407407407,55.5555555556,83.3333333333,73.1481481481,58.3333333333,74.0740740741,65.7407407407,70.3703703704,88.8888888889,74.0740740741,72.2222222222,81.4814814815,78.7037037037,84.375,68.75,61.4583333333,79.6296296296,66.6666666667,83.3333333333
1.2.3.3.0,Direttori e dirigenti del dipartimento vendite e commercializzazione,76.0869565217,72.8260869565,85.8695652174,48.9130434783,70.652173913,68.4782608696,45.652173913,72.8260869565,65.2173913043,67.3913043478,79.347826087,75,65.2173913043,72.8260869565,69.5652173913,75,75,65.3846153846,73.9130434783,51.9230769231,73.9130434783
1.2.3.4.0,"Direttori e dirigenti del dipartimento comunicazione, pubblicità e pubbliche relazioni",72.5,80,83.75,53.75,76.25,68.75,58.75,78.75,68.75,62.5,80,76.25,72.5,70,78.75,80,73.3333333333,58.3333333333,73.75,73.3333333333,75
1.2.3.5.0,Direttori e dirigenti del dipartimento approvvigionamento e distribuzione,77.6315789474,77.6315789474,92.1052631579,53.9473684211,78.9473684211,73.6842105263,52.6315789474,76.3157894737,52.6315789474,75,85.5263157895,78.9473684211,78.9473684211,69.7368421053,84.2105263158,85,76.6666666667,68.3333333333,77.6315789474,70,82.8947368421
1.2.3.6.0,Direttori e dirigenti del dipartimento servizi informatici,69.2307692308,67.3076923077,76.9230769231,55.7692307692,75,69.2307692308,50,69.2307692308,51.9230769231,59.6153846154,80.7692307692,73.0769230769,63.4615384615,69.2307692308,71.1538461538,72.9166666667,60.4166666667,43.75,69.2307692308,70.8333333333,69.2307692308
1.2.3.7.0,Direttori e dirigenti del dipartimento ricerca e sviluppo,88.6363636364,81.8181818182,90.9090909091,61.3636363636,77.2727272727,70.4545454545,56.8181818182,79.5454545455,56.8181818182,72.7272727273,86.3636363636,79.5454545455,79.5454545455,63.6363636364,84.0909090909,75,71.875,62.5,79.5454545455,87.5,81.8181818182
1.2.3.9.0,Altri direttori e dirigenti di dipartimento,96.4285714286,85.7142857143,100,82.1428571429,85.7142857143,71.4285714286,53.5714285714,75,71.4285714286,75,92.8571428571,82.1428571429,67.8571428571,78.5714285714,67.8571428571,79.1666666667,66.6666666667,58.3333333333,78.5714285714,70.8333333333,85.7142857143
1.3.1.1.0,"Imprenditori e responsabili di piccole aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca",80.2631578947,65.7894736842,72.3684210526,64.4736842105,76.3157894737,50,57.8947368421,68.4210526316,42.1052631579,56.5789473684,68.4210526316,60.5263157895,68.4210526316,69.7368421053,77.6315789474,,,,71.0526315789,,80.2631578947
1.3.1.2.0,"Imprenditori e responsabili di piccole aziende che operano nell'estrazione di minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nelle attività di gestione dei rifiuti",83.0357142857,81.25,89.2857142857,57.1428571429,77.6785714286,48.2142857143,51.7857142857,76.7857142857,52.6785714286,58.9285714286,85.7142857143,79.4642857143,75.8928571429,75.8928571429,82.1428571429,84.375,78.125,65.625,76.7857142857,68.75,82.1428571429
1.3.1.3.0,Imprenditori e responsabili di piccole aziende nelle costruzioni,86.9047619048,76.1904761905,91.6666666667,66.6666666667,76.1904761905,64.2857142857,39.2857142857,66.6666666667,45.2380952381,67.8571428571,88.0952380952,78.5714285714,78.5714285714,80.9523809524,79.7619047619,87.5,87.5,87.5,83.3333333333,87.5,88.0952380952
1.3.1.4.0,Imprenditori e responsabili di piccole aziende nel commercio,76.25,61.25,85,58.75,45,41.25,46.25,67.5,36.25,47.5,55,70,70,53.75,70,,,,61.25,,80
1.3.1.5.0,"Imprenditori e responsabili di piccoli alberghi, alloggi o aree di campeggio e di piccoli esercizi di ristorazione",79.5454545455,72.7272727273,81.8181818182,53.4090909091,68.1818181818,44.3181818182,44.3181818182,76.1363636364,48.8636363636,60.2272727273,81.8181818182,69.3181818182,69.3181818182,73.8636363636,77.2727272727,83.3333333333,75,66.6666666667,78.4090909091,41.6666666667,79.5454545455
1.3.1.6.1,Imprenditori e responsabili di piccole aziende nei trasporti e magazzinaggio,72.0588235294,72.0588235294,82.3529411765,66.1764705882,63.2352941176,55.8823529412,35.2941176471,60.2941176471,47.0588235294,58.8235294118,76.4705882353,72.0588235294,60.2941176471,72.0588235294,75,62.5,50,62.5,70.5882352941,62.5,82.3529411765
1.3.1.6.2,"Imprenditori e responsabili di piccole aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva",87.5,85,86.25,51.25,80,47.5,38.75,72.5,61.25,62.5,75,76.25,72.5,73.75,80,79.1666666667,70.8333333333,66.6666666667,80,83.3333333333,78.75
1.3.1.6.3,Imprenditori e responsabili di piccole aziende nei servizi informatici e di telecomunicazione,83.3333333333,77.380952381,88.0952380952,67.8571428571,79.7619047619,51.1904761905,45.2380952381,75,48.8095238095,55.9523809524,75,70.2380952381,77.380952381,59.5238095238,82.1428571429,75,75,75,79.7619047619,66.6666666667,75
1.3.1.7.0,"Imprenditori e responsabili di piccoli istituti di credito e di intermediazione finanziaria, assicurativa e immobiliare",79.7619047619,76.1904761905,84.5238095238,65.4761904762,61.9047619048,59.5238095238,44.0476190476,77.380952381,61.9047619048,65.4761904762,77.380952381,66.6666666667,73.8095238095,73.8095238095,71.4285714286,78.125,62.5,59.375,63.0952380952,50,73.8095238095
1.3.1.8.0,Imprenditori e responsabili di piccole aziende nei servizi alle imprese e alle persone,89.2857142857,82.1428571429,82.1428571429,71.4285714286,64.2857142857,57.1428571429,39.2857142857,67.8571428571,53.5714285714,75,75,78.5714285714,71.4285714286,82.1428571429,75,62.5,25,25,71.4285714286,100,78.5714285714
1.3.1.9.1,"Imprenditori e responsabili di piccole aziende nei servizi di istruzione, formazione e ricerca",85.2941176471,86.7647058824,91.1764705882,61.7647058824,76.4705882353,55.8823529412,38.2352941176,88.2352941176,36.7647058824,66.1764705882,88.2352941176,79.4117647059,76.4705882353,88.2352941176,88.2352941176,87.5,75,56.25,92.6470588235,100,92.6470588235
1.3.1.9.2,Imprenditori e responsabili di piccole aziende nei servizi di sanità e assistenza sociale,84.375,71.875,81.25,68.75,68.75,46.875,53.125,81.25,68.75,71.875,81.25,71.875,71.875,84.375,87.5,81.25,81.25,75,75,81.25,78.125
1.3.1.9.3,"Imprenditori e responsabili di piccole aziende nel settore delle attività sportive, ricreative, di intrattenimento e divertimento",81.5789473684,81.5789473684,88.1578947368,72.3684210526,82.8947368421,48.6842105263,43.4210526316,78.9473684211,50,57.8947368421,85.5263157895,78.9473684211,69.7368421053,84.2105263158,85.5263157895,81.25,81.25,62.5,85.5263157895,75,88.1578947368
2.1.1.1.1,Fisici,88.0952380952,85.7142857143,96.4285714286,57.1428571429,77.380952381,40.4761904762,76.1904761905,80.9523809524,67.8571428571,69.0476190476,79.7619047619,80.9523809524,65.4761904762,76.1904761905,85.7142857143,66.6666666667,67.8571428571,61.9047619048,84.5238095238,75,82.1428571429
2.1.1.1.2,Astronomi ed astrofisici,73.8636363636,76.1363636364,78.4090909091,64.7727272727,64.7727272727,59.0909090909,72.7272727273,75,54.5454545455,54.5454545455,61.3636363636,67.0454545455,69.3181818182,64.7727272727,75,66.6666666667,69.0476190476,58.3333333333,78.4090909091,76.1904761905,72.7272727273
2.1.1.2.1,Chimici e professioni assimilate,80.2631578947,73.6842105263,82.8947368421,75,71.0526315789,56.5789473684,68.4210526316,72.3684210526,57.8947368421,65.7894736842,64.4736842105,75,77.6315789474,69.7368421053,71.0526315789,71.6666666667,61.6666666667,51.6666666667,73.6842105263,58.3333333333,68.4210526316
2.1.1.2.2,Chimici informatori e divulgatori,85,58.75,85,71.25,43.75,56.25,41.25,65,57.5,57.5,30,63.75,72.5,67.5,70,70.8333333333,72.2222222222,73.6111111111,61.25,55.5555555556,46.25
2.1.1.3.1,Matematici,93.75,85,95,61.25,73.75,42.5,78.75,81.25,53.75,61.25,77.5,70,75,76.25,86.25,61.25,63.75,57.5,92.5,91.25,92.5
2.1.1.3.2,Statistici,76.8518518519,75,76.8518518519,68.5185185185,61.1111111111,58.3333333333,71.2962962963,74.0740740741,48.1481481481,57.4074074074,59.2592592593,64.8148148148,75.9259259259,65.7407407407,83.3333333333,64.7727272727,65.9090909091,52.2727272727,70.3703703704,68.1818181818,69.4444444444
2.1.1.4.1,Analisti e progettisti di software,79.6875,75.78125,82.8125,63.28125,60.9375,59.375,55.46875,78.125,64.0625,66.40625,67.96875,67.1875,71.875,64.0625,69.53125,72.2222222222,66.6666666667,58.3333333333,79.6875,58.3333333333,75.78125
2.1.1.4.2,Analisti di sistema,79.1666666667,73.6111111111,84.7222222222,56.9444444444,62.5,59.7222222222,47.2222222222,72.2222222222,63.8888888889,58.3333333333,72.2222222222,70.8333333333,79.1666666667,68.0555555556,70.8333333333,70.8333333333,70.8333333333,60.4166666667,66.6666666667,52.0833333333,63.8888888889
2.1.1.4.3,Analisti e progettisti di applicazioni web,85.7142857143,76.1904761905,84.5238095238,64.2857142857,63.0952380952,46.4285714286,44.0476190476,73.8095238095,58.3333333333,55.9523809524,63.0952380952,69.0476190476,66.6666666667,67.8571428571,77.380952381,82.5,70,60,83.3333333333,65,84.5238095238
2.1.1.5.1,Specialisti in reti e comunicazioni informatiche,77.7777777778,77.7777777778,80.5555555556,65.2777777778,58.3333333333,56.9444444444,48.6111111111,68.0555555556,47.2222222222,58.3333333333,56.9444444444,66.6666666667,65.2777777778,75,75,62.5,62.5,50,68.0555555556,65.625,72.2222222222
2.1.1.5.2,Analisti e progettisti di basi dati,82.5,65,83.75,66.25,53.75,53.75,52.5,70,58.75,51.25,60,63.75,66.25,65,67.5,68.1818181818,70.4545454545,54.5454545455,72.5,68.1818181818,66.25
2.1.1.5.3,Amministratori di sistemi,77.2727272727,73.8636363636,79.5454545455,59.0909090909,68.1818181818,56.8181818182,57.9545454545,73.8636363636,57.9545454545,59.0909090909,72.7272727273,62.5,73.8636363636,78.4090909091,77.2727272727,67.5,65,57.5,79.5454545455,75,77.2727272727
2.1.1.5.4,Specialisti in sicurezza informatica,78.125,75,78.125,60.9375,62.5,56.25,54.6875,68.75,62.5,57.8125,67.1875,67.1875,65.625,75,84.375,80.5555555556,80.5555555556,72.2222222222,60.9375,52.7777777778,70.3125
2.1.1.6.1,Geologi,76.724137931,66.3793103448,77.5862068966,68.1034482759,65.5172413793,37.0689655172,31.8965517241,56.0344827586,37.0689655172,48.275862069,67.2413793103,48.275862069,65.5172413793,69.8275862069,77.5862068966,75,75,50,63.7931034483,75,78.4482758621
2.1.1.6.2,Paleontologi,85,93.75,88.75,60,87.5,43.75,62.5,66.25,58.75,55,60,67.5,75,71.25,73.75,60.5263157895,56.5789473684,52.6315789474,88.75,75,81.25
2.1.1.6.3,Geofisici,76.25,72.5,78.75,66.25,67.5,48.75,60,68.75,51.25,63.75,67.5,77.5,77.5,88.75,90,68.0555555556,59.7222222222,56.9444444444,81.25,73.6111111111,78.75
2.1.1.6.4,Meteorologi,83.3333333333,76.1904761905,76.1904761905,54.7619047619,71.4285714286,39.2857142857,69.0476190476,72.619047619,47.619047619,53.5714285714,52.380952381,69.0476190476,67.8571428571,79.7619047619,80.9523809524,59.2105263158,55.2631578947,48.6842105263,75,63.1578947368,67.8571428571
2.1.1.6.5,Idrologi,82.5,77.5,72.5,60,67.5,38.75,28.75,67.5,45,50,67.5,52.5,73.75,76.25,76.25,83.3333333333,83.3333333333,66.6666666667,76.25,75,77.5
2.2.1.1.1,Ingegneri meccanici,78.2608695652,76.0869565217,81.5217391304,55.4347826087,75,51.0869565217,66.3043478261,78.2608695652,59.7826086957,56.5217391304,75,70.652173913,67.3913043478,72.8260869565,76.0869565217,68.75,66.25,53.75,67.3913043478,65,71.7391304348
2.2.1.1.2,Ingegneri navali,71.25,78.75,83.75,70,85,63.75,53.75,76.25,62.5,63.75,86.25,72.5,73.75,66.25,82.5,71.1538461538,69.2307692308,50,75,55.7692307692,80
2.2.1.1.3,Ingegneri aerospaziali e astronautici,72.1153846154,75.9615384615,93.2692307692,55.7692307692,77.8846153846,48.0769230769,71.1538461538,76.9230769231,71.1538461538,56.7307692308,80.7692307692,75,73.0769230769,70.1923076923,82.6923076923,75.9615384615,73.0769230769,58.6538461538,70.1923076923,55.7692307692,67.3076923077
2.2.1.1.4,Ingegneri energetici e nucleari,78.8461538462,75,80.7692307692,65.3846153846,67.3076923077,59.6153846154,67.3076923077,75,69.2307692308,71.1538461538,75,71.1538461538,75,67.3076923077,82.6923076923,80.7692307692,75,63.4615384615,73.0769230769,59.6153846154,69.2307692308
