up_new,Descrizione,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21
5.2.3.1.3,Assistenti congressuali e fieristici,56.9444444444,59.7222222222,52.7777777778,58.3333333333,66.6666666667,52.7777777778,29.1666666667,75,55.5555555556,61.1111111111,43.0555555556,62.5,70.8333333333,80.5555555556,77.7777777778,69.2307692308,76.9230769231,67.3076923077,52.7777777778,36.5384615385,41.6666666667
5.2.3.2.0,Accompagnatori turistici,85,76.25,62.5,75,67.5,32.5,17.5,67.5,32.5,53.75,67.5,52.5,68.75,85,78.75,56.25,81.25,43.75,58.75,68.75,65
5.3.1.1.0,Professioni qualificate nei servizi sanitari e sociali,75,73.8095238095,82.1428571429,52.380952381,57.1428571429,50,64.2857142857,71.4285714286,41.6666666667,60.7142857143,48.8095238095,71.4285714286,73.8095238095,80.9523809524,78.5714285714,72.619047619,73.8095238095,75,55.9523809524,47.619047619,39.2857142857
5.4.1.1.0,Maestri di arti e mestieri,85.5263157895,82.8947368421,67.1052631579,71.0526315789,50,28.9473684211,38.1578947368,73.6842105263,44.7368421053,69.7368421053,73.6842105263,68.4210526316,71.0526315789,73.6842105263,78.9473684211,68.75,50,43.75,81.5789473684,81.25,80.2631578947
5.4.2.1.1,Esercenti di cinema e teatri,83.75,85,86.25,56.25,62.5,43.75,33.75,71.25,43.75,56.25,80,72.5,71.25,82.5,80,81.25,62.5,56.25,71.25,68.75,80
5.4.2.1.2,Esercenti di locali notturni,82.8125,71.875,81.25,64.0625,71.875,40.625,29.6875,65.625,35.9375,54.6875,84.375,68.75,71.875,76.5625,59.375,62.5,37.5,50,78.125,75,84.375
5.4.2.1.3,Esercenti di attività ricreative,76.3888888889,73.6111111111,83.3333333333,54.1666666667,69.4444444444,62.5,45.8333333333,65.2777777778,59.7222222222,63.8888888889,76.3888888889,56.9444444444,75,76.3888888889,66.6666666667,75,57.1428571429,60.7142857143,73.6111111111,71.4285714286,72.2222222222
5.4.2.1.4,Esercenti di attività sportive,76.1363636364,77.2727272727,80.6818181818,69.3181818182,64.7727272727,53.4090909091,51.1363636364,77.2727272727,53.4090909091,64.7727272727,79.5454545455,77.2727272727,68.1818181818,73.8636363636,77.2727272727,70.8333333333,50,50,75,54.1666666667,72.7272727273
5.4.2.1.5,Esercenti di sale scommesse,75,63.0434782609,84.7826086957,60.8695652174,63.0434782609,42.3913043478,44.5652173913,65.2173913043,38.0434782609,54.347826087,68.4782608696,59.7826086957,64.1304347826,69.5652173913,67.3913043478,66.6666666667,66.6666666667,62.5,61.9565217391,50,61.9565217391
5.4.2.2.1,Allibratori,63.75,48.75,55,72.5,23.75,46.25,35,58.75,26.25,52.5,41.25,66.25,72.5,57.5,61.25,76.6666666667,76.6666666667,68.3333333333,38.75,50,47.5
