up_new,Descrizione,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
3.2.1.4.4,Tecnici della fisiopatologia cardiocircolatoria e della perfusione cardiovascolare,73.8095238095,69.0476190476,69.0476190476,51.1904761905,70.2380952381,66.6666666667,75,77.380952381,76.1904761905,67.8571428571,82.1428571429,83.3333333333,72.619047619,58.3333333333,46.4285714286,67.8571428571
3.2.1.4.5,Dietisti,75,76.1363636364,73.8636363636,57.9545454545,77.2727272727,84.0909090909,69.3181818182,78.4090909091,77.2727272727,71.5909090909,80.6818181818,79.5454545455,81.8181818182,68.1818181818,62.5,71.5909090909
3.2.1.5.1,Tecnici della prevenzione nell’ambiente e nei luoghi di lavoro,75,73.75,72.5,65,83.75,63.75,75,85,83.75,67.5,91.25,85,87.5,73.75,56.25,77.5
3.2.1.5.2,Assistenti sanitari,78.5714285714,67.8571428571,76.1904761905,60.7142857143,79.7619047619,82.1428571429,82.1428571429,84.5238095238,85.7142857143,75,82.1428571429,75,82.1428571429,61.9047619048,58.3333333333,70.2380952381
3.2.1.6.1,Ottici e optometristi,70.2380952381,61.9047619048,67.8571428571,44.0476190476,50,59.5238095238,41.6666666667,76.1904761905,69.0476190476,67.8571428571,80.9523809524,85.7142857143,72.619047619,71.4285714286,59.5238095238,52.380952381
3.2.1.6.2,Odontotecnici,75,58.75,66.25,37.5,45,46.25,31.25,70,73.75,65,76.25,83.75,81.25,66.25,65,58.75
3.2.1.7.0,Tecnici della medicina popolare,89.4736842105,78.9473684211,82.8947368421,55.2631578947,72.3684210526,89.4736842105,38.1578947368,73.6842105263,73.6842105263,84.2105263158,93.4210526316,89.4736842105,90.7894736842,80.2631578947,80.2631578947,78.9473684211
3.2.2.1.1,Tecnici agronomi,63.75,58.75,66.25,50,56.25,38.75,43.75,66.25,70,60,77.5,68.75,82.5,73.75,57.5,68.75
3.2.2.1.2,Tecnici forestali,63.3333333333,61.6666666667,68.3333333333,55,71.6666666667,56.6666666667,55,66.6666666667,66.6666666667,63.3333333333,70,65,73.3333333333,51.6666666667,55,56.6666666667
3.2.2.2.0,Zootecnici,72.5,67.5,72.5,50,70,52.5,52.5,70,57.5,77.5,80,85,75,67.5,50,67.5
3.2.2.3.1,Tecnici di laboratorio biochimico,71.4285714286,58.3333333333,54.7619047619,30.9523809524,70.2380952381,42.8571428571,59.5238095238,61.9047619048,59.5238095238,63.0952380952,77.380952381,76.1904761905,82.1428571429,50,34.5238095238,69.0476190476
3.2.2.3.2,Tecnici dei prodotti alimentari,75,70.2380952381,71.4285714286,69.0476190476,72.619047619,47.619047619,60.7142857143,71.4285714286,71.4285714286,67.8571428571,86.9047619048,79.7619047619,79.7619047619,69.0476190476,67.8571428571,65.4761904762
3.2.2.3.3,Tecnici di laboratorio veterinario,72.619047619,73.8095238095,65.4761904762,38.0952380952,76.1904761905,57.1428571429,59.5238095238,75,78.5714285714,71.4285714286,91.6666666667,89.2857142857,76.1904761905,63.0952380952,59.5238095238,69.0476190476
3.3.1.1.1,Segretari amministrativi e tecnici degli affari generali,84.2592592593,74.0740740741,79.6296296296,70.3703703704,83.3333333333,69.4444444444,66.6666666667,90.7407407407,84.2592592593,80.5555555556,89.8148148148,83.3333333333,92.5925925926,72.2222222222,53.7037037037,75
3.3.1.1.2,Assistenti di archivio e di biblioteca,72.619047619,63.0952380952,64.2857142857,33.3333333333,76.1904761905,51.1904761905,55.9523809524,65.4761904762,65.4761904762,73.8095238095,80.9523809524,88.0952380952,79.7619047619,54.7619047619,34.5238095238,57.1428571429
3.3.1.2.1,Contabili,76.5151515152,68.9393939394,65.9090909091,46.9696969697,65.9090909091,49.2424242424,52.2727272727,71.2121212121,71.2121212121,64.3939393939,84.0909090909,81.0606060606,76.5151515152,62.8787878788,43.9393939394,65.1515151515
3.3.1.2.2,Economi e tesorieri,72.619047619,66.6666666667,71.4285714286,55.9523809524,67.8571428571,48.8095238095,53.5714285714,61.9047619048,66.6666666667,66.6666666667,73.8095238095,69.0476190476,80.9523809524,67.8571428571,48.8095238095,65.4761904762
3.3.1.2.3,Amministratore di stabili e condomini,78.75,66.25,67.5,70,56.25,58.75,23.75,72.5,76.25,57.5,76.25,66.25,80,68.75,50,62.5
3.3.1.3.1,Tecnici dell'acquisizione delle informazioni,75,75,50,50,50,25,25,75,75,75,75,75,75,75,75,75
3.3.1.3.2,Intervistatori e rilevatori professionali,66.25,48.75,38.75,5,41.25,26.25,22.5,80,78.75,72.5,75,71.25,65,36.25,13.75,31.25
3.3.1.4.0,Corrispondenti in lingue estere e professioni assimilate,80.5555555556,80.5555555556,79.1666666667,54.1666666667,80.5555555556,59.7222222222,54.1666666667,73.6111111111,80.5555555556,73.6111111111,80.5555555556,86.1111111111,76.3888888889,68.0555555556,47.2222222222,68.0555555556
3.3.1.5.0,Tecnici dell'organizzazione e della gestione dei fattori produttivi,80.7692307692,75,74.0384615385,71.1538461538,76.9230769231,46.1538461538,70.1923076923,74.0384615385,78.8461538462,73.0769230769,82.6923076923,77.8846153846,71.1538461538,53.8461538462,51.9230769231,72.1153846154
3.3.2.1.0,Tecnici della gestione finanziaria,88.8888888889,83.3333333333,77.7777777778,73.6111111111,72.2222222222,69.4444444444,68.0555555556,88.8888888889,90.2777777778,87.5,91.6666666667,86.1111111111,80.5555555556,68.0555555556,56.9444444444,75
3.3.2.2.0,Tecnici del lavoro bancario,71.25,60,68.75,55,80,57.5,62.5,77.5,73.75,75,88.75,72.5,90,50,33.75,58.75
3.3.2.3.0,Agenti assicurativi,81.5217391304,70.652173913,73.9130434783,73.9130434783,73.9130434783,64.1304347826,65.2173913043,80.4347826087,80.4347826087,76.0869565217,88.0434782609,70.652173913,90.2173913043,69.5652173913,56.5217391304,64.1304347826
3.3.2.4.0,"Periti, valutatori di rischio e liquidatori",61.9565217391,56.5217391304,58.6956521739,43.4782608696,47.8260869565,35.8695652174,29.347826087,70.652173913,65.2173913043,56.5217391304,75,67.3913043478,81.5217391304,69.5652173913,44.5652173913,64.1304347826
3.3.2.5.0,"Agenti di borsa e cambio, tecnici dell’intermediazione titoli e professioni assimilate",86.9047619048,83.3333333333,90.4761904762,73.8095238095,92.8571428571,63.0952380952,75,88.0952380952,95.2380952381,79.7619047619,97.619047619,86.9047619048,96.4285714286,57.1428571429,57.1428571429,83.3333333333
3.3.2.6.1,"Tecnici dei contratti di scambio, a premi e del recupero crediti",80,86.25,72.5,57.5,68.75,53.75,48.75,85,83.75,73.75,83.75,77.5,85,63.75,46.25,68.75
3.3.2.6.2,Tecnici della locazione finanziaria,80.2631578947,81.5789473684,76.3157894737,65.7894736842,71.0526315789,59.2105263158,69.7368421053,81.5789473684,78.9473684211,75,84.2105263158,76.3157894737,78.9473684211,61.8421052632,56.5789473684,68.4210526316
3.3.3.1.0,Approvvigionatori e responsabili acquisti,80.2631578947,82.8947368421,75,63.1578947368,76.3157894737,64.4736842105,72.3684210526,80.2631578947,77.6315789474,78.9473684211,84.2105263158,77.6315789474,86.8421052632,73.6842105263,61.8421052632,69.7368421053
3.3.3.2.0,Responsabili di magazzino e della distribuzione interna,64.7727272727,55.6818181818,52.2727272727,48.8636363636,62.5,32.9545454545,55.6818181818,64.7727272727,62.5,61.3636363636,70.4545454545,61.3636363636,64.7727272727,51.1363636364,28.4090909091,50
3.3.3.3.1,Commissari e aggiudicatori d'asta,84,76,75,68,66,54,55,83,83,82,89,85,87,78,51,71
3.3.3.3.2,Periti commerciali,81.8181818182,81.8181818182,79.5454545455,65.9090909091,65.9090909091,50,52.2727272727,79.5454545455,79.5454545455,70.4545454545,93.1818181818,88.6363636364,93.1818181818,70.4545454545,61.3636363636,86.3636363636
3.3.3.4.0,Tecnici della vendita e della distribuzione,85,85,87.5,87.5,87.5,65,55,90,85,72.5,82.5,77.5,82.5,57.5,67.5,67.5
3.3.3.5.0,Tecnici del marketing,76.4705882353,86.7647058824,91.1764705882,77.9411764706,83.8235294118,67.6470588235,79.4117647059,83.8235294118,85.2941176471,88.2352941176,83.8235294118,85.2941176471,83.8235294118,69.1176470588,89.7058823529,91.1764705882
3.3.3.6.1,Tecnici della pubblicità,84.2105263158,85.5263157895,82.8947368421,68.4210526316,68.4210526316,51.3157894737,65.7894736842,75,81.5789473684,84.2105263158,90.7894736842,88.1578947368,67.1052631579,75,88.1578947368,81.5789473684
3.3.3.6.2,Tecnici delle pubbliche relazioni,79.7619047619,78.5714285714,80.9523809524,66.6666666667,78.5714285714,50,66.6666666667,85.7142857143,86.9047619048,80.9523809524,82.1428571429,85.7142857143,65.4761904762,61.9047619048,75,73.8095238095
3.3.4.1.0,Spedizionieri e tecnici dell'organizzazione commerciale,68,69,70,62,72,49,62,79,73,74,82,81,82,52,50,66
3.3.4.2.0,Agenti di commercio,85,86.25,82.5,53.75,68.75,58.75,25,80,82.5,85,88.75,78.75,78.75,80,62.5,76.25
3.3.4.3.0,Agenti concessionari,65.4761904762,69.0476190476,72.619047619,63.0952380952,59.5238095238,47.619047619,54.7619047619,72.619047619,72.619047619,61.9047619048,73.8095238095,66.6666666667,64.2857142857,57.1428571429,58.3333333333,59.5238095238
3.3.4.4.0,Agenti di pubblicità,82.9545454545,84.0909090909,86.3636363636,53.4090909091,64.7727272727,56.8181818182,51.1363636364,85.2272727273,85.2272727273,86.3636363636,90.9090909091,76.1363636364,82.9545454545,75,76.1363636364,69.3181818182
3.3.4.5.0,Agenti e periti immobiliari,71.5909090909,69.3181818182,72.7272727273,45.4545454545,56.8181818182,54.5454545455,32.9545454545,80.6818181818,70.4545454545,64.7727272727,84.0909090909,78.4090909091,84.0909090909,67.0454545455,61.3636363636,67.0454545455
3.3.4.6.0,Rappresentanti di commercio,72.619047619,77.380952381,75,47.619047619,57.1428571429,42.8571428571,23.8095238095,79.7619047619,80.9523809524,73.8095238095,83.3333333333,76.1904761905,79.7619047619,76.1904761905,59.5238095238,55.9523809524
3.3.4.7.0,Agenti e rappresentanti di artisti ed atleti,88.0434782609,91.3043478261,93.4782608696,86.9565217391,82.6086956522,90.2173913043,53.2608695652,89.1304347826,84.7826086957,82.6086956522,93.4782608696,80.4347826087,94.5652173913,83.6956521739,78.2608695652,80.4347826087
3.4.1.1.0,Tecnici delle attività ricettive e professioni assimilate,73.6111111111,75,80.5555555556,61.1111111111,72.2222222222,47.2222222222,70.8333333333,73.6111111111,72.2222222222,72.2222222222,86.1111111111,77.7777777778,83.3333333333,58.3333333333,59.7222222222,62.5
3.4.1.2.1,"Organizzatori di fiere, esposizioni ed eventi culturali",76.25,73.75,83.75,75,80,65,70,80,80,78.75,83.75,75,75,60,78.75,70
3.4.1.2.2,Organizzatori di convegni e ricevimenti,75,70.652173913,72.8260869565,73.9130434783,77.1739130435,61.9565217391,60.8695652174,83.6956521739,85.8695652174,76.0869565217,83.6956521739,85.8695652174,75,67.3913043478,70.652173913,67.3913043478
3.4.1.3.0,Animatori turistici e professioni assimilate,86.9047619048,79.7619047619,88.0952380952,78.5714285714,90.4761904762,86.9047619048,92.8571428571,94.0476190476,90.4761904762,80.9523809524,84.5238095238,77.380952381,76.1904761905,67.8571428571,77.380952381,57.1428571429
3.4.1.4.0,Agenti di viaggio,73.8095238095,71.4285714286,77.380952381,55.9523809524,70.2380952381,64.2857142857,50,72.619047619,80.9523809524,72.619047619,79.7619047619,77.380952381,76.1904761905,63.0952380952,70.2380952381,61.9047619048
3.4.1.5.1,Guide ed accompagnatori naturalistici e sportivi,70.2380952381,72.619047619,77.380952381,79.7619047619,73.8095238095,83.3333333333,59.5238095238,84.5238095238,82.1428571429,75,82.1428571429,72.619047619,77.380952381,79.7619047619,64.2857142857,65.4761904762
3.4.1.5.2,Guide turistiche,77.380952381,72.619047619,71.4285714286,72.619047619,76.1904761905,73.8095238095,58.3333333333,89.2857142857,84.5238095238,82.1428571429,84.5238095238,76.1904761905,84.5238095238,76.1904761905,57.1428571429,63.0952380952
3.4.2.1.1,Istruttori di volo,75,79.7619047619,83.3333333333,80.9523809524,75,72.619047619,51.1904761905,91.6666666667,88.0952380952,82.1428571429,91.6666666667,92.8571428571,84.5238095238,75,34.5238095238,76.1904761905
3.4.2.1.2,Istruttori di guida automobilistica,56.25,56.25,57.5,56.25,47.5,52.5,37.5,73.75,66.25,55,68.75,65,73.75,48.75,42.5,51.25
3.4.2.1.3,Istruttori di nautica,73.8636363636,73.8636363636,72.7272727273,70.4545454545,67.0454545455,59.0909090909,44.3181818182,78.4090909091,70.4545454545,73.8636363636,82.9545454545,75,79.5454545455,73.8636363636,65.9090909091,72.7272727273
3.4.2.2.0,Insegnanti nella formazione professionale,71.4285714286,64.2857142857,75,70.2380952381,72.619047619,54.7619047619,53.5714285714,83.3333333333,71.4285714286,69.0476190476,79.7619047619,77.380952381,83.3333333333,55.9523809524,69.0476190476,64.2857142857
3.4.2.3.0,Istruttori di tecniche in campo artistico,77.6315789474,80.2631578947,76.3157894737,77.6315789474,72.3684210526,72.3684210526,71.0526315789,75,71.0526315789,68.4210526316,77.6315789474,75,76.3157894737,71.0526315789,77.6315789474,68.4210526316
3.4.2.4.0,Istruttori di discipline sportive non agonistiche,69.5652173913,66.3043478261,73.9130434783,78.2608695652,76.0869565217,80.4347826087,63.0434782609,82.6086956522,77.1739130435,75,85.8695652174,69.5652173913,84.7826086957,63.0434782609,65.2173913043,66.3043478261
3.4.2.5.1,Organizzatori di eventi e di strutture sportive,77.6315789474,71.0526315789,81.5789473684,68.4210526316,63.1578947368,50,59.2105263158,76.3157894737,75,61.8421052632,86.8421052632,77.6315789474,78.9473684211,68.4210526316,59.2105263158,64.4736842105
3.4.2.5.2,Osservatori sportivi,60,56.6666666667,53.3333333333,56.6666666667,56.6666666667,56.6666666667,46.6666666667,60,51.6666666667,56.6666666667,68.3333333333,73.3333333333,66.6666666667,63.3333333333,48.3333333333,68.3333333333
3.4.2.6.1,Allenatori e tecnici sportivi,88.2352941176,89.7058823529,91.1764705882,92.6470588235,83.8235294118,79.4117647059,76.4705882353,92.6470588235,85.2941176471,80.8823529412,85.2941176471,88.2352941176,82.3529411765,72.0588235294,50,72.0588235294
3.4.2.6.2,Arbitri e giudici di gara,80,81.25,83.75,73.75,75,48.75,53.75,96.25,91.25,80,96.25,90,96.25,77.5,20,77.5
3.4.2.7.0,Atleti,81.6666666667,86.6666666667,66.6666666667,46.6666666667,91.6666666667,38.3333333333,78.3333333333,76.6666666667,70,58.3333333333,76.6666666667,68.3333333333,70,35,30,51.6666666667
3.4.3.1.1,Annunciatori della radio e della televisione,71.25,63.75,67.5,46.25,68.75,53.75,52.5,83.75,78.75,75,82.5,77.5,83.75,63.75,66.25,66.25
3.4.3.1.2,Presentatori di performance artistiche e ricreative,83.3333333333,77.0833333333,83.3333333333,56.25,64.5833333333,47.9166666667,50,75,72.9166666667,70.8333333333,79.1666666667,81.25,62.5,81.25,83.3333333333,62.5
3.4.3.2.0,"Tecnici dell'organizzazione della produzione radiotelevisiva, cinematografica e teatrale",80.6818181818,78.4090909091,82.9545454545,68.1818181818,82.9545454545,61.3636363636,68.1818181818,76.1363636364,76.1363636364,73.8636363636,81.8181818182,88.6363636364,68.1818181818,72.7272727273,76.1363636364,75
3.4.3.3.0,Intrattenitori,70.4545454545,63.6363636364,70.4545454545,45.4545454545,61.3636363636,52.2727272727,45.4545454545,72.7272727273,77.2727272727,59.0909090909,65.9090909091,68.1818181818,68.1818181818,65.9090909091,70.4545454545,65.9090909091
3.4.4.1.1,Grafici,73.3333333333,71.6666666667,75,49.1666666667,73.3333333333,54.1666666667,57.5,65.8333333333,74.1666666667,73.3333333333,82.5,80.8333333333,68.3333333333,61.6666666667,81.6666666667,72.5
3.4.4.1.2,Allestitori di scena,73.3333333333,78.3333333333,80,61.6666666667,88.3333333333,50,81.6666666667,73.3333333333,75,80,86.6666666667,83.3333333333,66.6666666667,56.6666666667,80,75
3.4.4.2.1,Tecnici dei musei,87.5,81.25,79.1666666667,52.0833333333,85.4166666667,58.3333333333,72.9166666667,81.25,75,81.25,91.6666666667,79.1666666667,87.5,62.5,62.5,77.0833333333
3.4.4.2.2,Tecnici delle biblioteche,69.0476190476,69.0476190476,59.5238095238,47.619047619,71.4285714286,57.1428571429,60.7142857143,79.7619047619,73.8095238095,75,82.1428571429,73.8095238095,80.9523809524,61.9047619048,53.5714285714,64.2857142857
3.4.4.3.1,Stimatori di opere d'arte,75.8064516129,68.5483870968,75,48.3870967742,62.9032258065,47.5806451613,48.3870967742,66.1290322581,67.7419354839,70.9677419355,81.4516129032,85.4838709677,81.4516129032,73.3870967742,65.3225806452,66.935483871
3.4.4.3.2,Periti filatelici e numismatici,73.75,70,75,43.75,36.25,31.25,12.5,65,55,48.75,88.75,87.5,91.25,76.25,38.75,75
3.4.4.3.3,Periti calligrafi,78.5714285714,73.8095238095,73.8095238095,33.3333333333,51.1904761905,38.0952380952,17.8571428571,72.619047619,76.1904761905,64.2857142857,89.2857142857,90.4761904762,92.8571428571,77.380952381,45.2380952381,82.1428571429
3.4.4.4.0,Tecnici del restauro,76.25,77.5,77.5,42.5,63.75,41.25,48.75,58.75,56.25,55,73.75,86.25,77.5,70,58.75,72.5
3.4.5.1.0,Assistenti sociali,78.4090909091,78.4090909091,77.2727272727,56.8181818182,84.0909090909,89.7727272727,80.6818181818,85.2272727273,86.3636363636,78.4090909091,89.7727272727,77.2727272727,85.2272727273,70.4545454545,61.3636363636,72.7272727273
3.4.5.2.0,Tecnici del reinserimento e dell’integrazione sociale,80.2631578947,89.4736842105,82.8947368421,76.3157894737,92.1052631579,93.4210526316,88.1578947368,93.4210526316,89.4736842105,84.2105263158,89.4736842105,77.6315789474,85.5263157895,63.1578947368,68.4210526316,77.6315789474
3.4.5.3.0,Tecnici dei servizi per l'impiego,73.75,70,66.25,62.5,70,68.75,58.75,82.5,81.25,68.75,77.5,67.5,75,47.5,45,62.5
3.4.5.4.0,Tecnici dei servizi di sicurezza privati e professioni assimilate,66.25,67.5,66.25,66.25,66.25,53.75,56.25,80,80,73.75,82.5,73.75,81.25,61.25,51.25,51.25
3.4.5.5.0,Tecnici delle attività religiose e di culto,65.4761904762,67.8571428571,63.0952380952,52.380952381,79.7619047619,88.0952380952,75,70.2380952381,66.6666666667,65.4761904762,76.1904761905,59.5238095238,89.2857142857,40.4761904762,38.0952380952,48.8095238095
3.4.6.1.0,Tecnici dei servizi giudiziari,82.8947368421,71.0526315789,73.6842105263,53.9473684211,77.6315789474,71.0526315789,68.4210526316,77.6315789474,73.6842105263,69.7368421053,92.1052631579,78.9473684211,88.1578947368,65.7894736842,56.5789473684,75
3.4.6.2.0,Ufficiali della Polizia di Stato,80.5555555556,81.4814814815,82.4074074074,76.8518518519,74.0740740741,65.7407407407,75.9259259259,93.5185185185,94.4444444444,84.2592592593,93.5185185185,87.962962963,90.7407407407,56.4814814815,56.4814814815,75.9259259259
3.4.6.3.1,Tecnici dei servizi di sicurezza dei vigili urbani,80,83.75,81.25,68.75,85,73.75,73.75,93.75,92.5,81.25,91.25,81.25,96.25,77.5,63.75,83.75
3.4.6.3.2,Tecnici dei servizi di sicurezza dei vigili del fuoco,75,76.0416666667,71.875,79.1666666667,79.1666666667,72.9166666667,75,85.4166666667,83.3333333333,72.9166666667,83.3333333333,76.0416666667,83.3333333333,64.5833333333,60.4166666667,73.9583333333
3.4.6.3.3,Tecnici dei servizi di sicurezza del corpo forestale,81.25,80,78.75,75,83.75,67.5,76.25,86.25,76.25,70,83.75,81.25,88.75,55,50,66.25
3.4.6.4.0,Ufficiali della guardia di finanza,84.375,82.03125,77.34375,73.4375,77.34375,68.75,75,89.0625,87.5,76.5625,86.71875,84.375,91.40625,59.375,48.4375,71.875
3.4.6.5.0,Controllori fiscali,76.1363636364,70.4545454545,69.3181818182,71.5909090909,82.9545454545,61.3636363636,77.2727272727,87.5,85.2272727273,80.6818181818,86.3636363636,78.4090909091,89.7727272727,59.0909090909,39.7727272727,70.4545454545
3.4.6.6.1,Tecnici dei servizi pubblici di concessioni licenze,75,68.4210526316,78.9473684211,59.2105263158,78.9473684211,60.5263157895,55.2631578947,78.9473684211,75,72.3684210526,84.2105263158,81.5789473684,85.5263157895,46.0526315789,56.5789473684,72.3684210526
3.4.6.6.2,Tecnici dei servizi pubblici per il rilascio di certificazioni e documentazioni personali,52.380952381,45.2380952381,46.4285714286,19.0476190476,67.8571428571,63.0952380952,39.2857142857,88.0952380952,84.5238095238,64.2857142857,77.380952381,80.9523809524,83.3333333333,42.8571428571,23.8095238095,63.0952380952
4.1.1.1.0,Addetti a funzioni di segreteria,81.8181818182,69.3181818182,68.1818181818,52.2727272727,84.0909090909,69.3181818182,63.6363636364,88.6363636364,89.7727272727,84.0909090909,89.7727272727,84.0909090909,87.5,52.2727272727,45.4545454545,70.4545454545
4.1.1.2.0,Addetti agli affari generali,74,73,68,50,78,65,63,73,69,72,85,80,82,59,48,68
4.1.1.3.0,Addetti al protocollo e allo smistamento di documenti,71.7391304348,60.8695652174,53.2608695652,15.2173913043,61.9565217391,41.3043478261,40.2173913043,55.4347826087,56.5217391304,57.6086956522,75,77.1739130435,75,56.5217391304,31.5217391304,47.8260869565
4.1.1.4.0,Addetti alla gestione del personale,76.6666666667,75.8333333333,67.5,56.6666666667,75,72.5,65,80.8333333333,75.8333333333,77.5,84.1666666667,82.5,83.3333333333,53.3333333333,55.8333333333,75
4.1.2.1.0,"Addetti alla videoscrittura, dattilografi, stenografi e professioni assimilate",53.3333333333,51.6666666667,41.6666666667,26.6666666667,50,41.6666666667,30,56.6666666667,55,43.3333333333,63.3333333333,63.3333333333,63.3333333333,51.6666666667,35,41.6666666667
4.1.2.2.0,Addetti all'immissione dati,76.1904761905,67.8571428571,63.0952380952,36.9047619048,69.0476190476,45.2380952381,60.7142857143,66.6666666667,73.8095238095,66.6666666667,85.7142857143,83.3333333333,78.5714285714,61.9047619048,35.7142857143,63.0952380952
4.1.2.3.0,Addetti alle macchine per la riproduzione e l'invio di materiali e documenti,65,52.5,66.25,32.5,55,42.5,27.5,67.5,65,56.25,75,73.75,72.5,60,57.5,47.5
4.2.1.1.0,"Addetti agli sportelli assicurativi, bancari e di altri intermediari finanziari",77.380952381,61.9047619048,65.4761904762,26.1904761905,79.7619047619,64.2857142857,67.8571428571,89.2857142857,89.2857142857,78.5714285714,86.9047619048,82.1428571429,92.8571428571,51.1904761905,33.3333333333,55.9523809524
4.2.1.2.0,Addetti agli sportelli dei servizi postali,80,77.5,62.5,28.75,86.25,77.5,75,92.5,83.75,78.75,87.5,87.5,92.5,52.5,40,71.25
4.2.1.3.0,Addetti agli sportelli per l'esazione di imposte e contributi e al recupero crediti,75,72.619047619,59.5238095238,33.3333333333,64.2857142857,45.2380952381,47.619047619,85.7142857143,77.380952381,64.2857142857,78.5714285714,75,72.619047619,48.8095238095,27.380952381,60.7142857143
4.2.1.4.0,Addetti agli sportelli delle agenzie di pegno e professioni assimilate,70.2380952381,63.0952380952,67.8571428571,30.9523809524,66.6666666667,64.2857142857,54.7619047619,85.7142857143,80.9523809524,72.619047619,84.5238095238,85.7142857143,91.6666666667,69.0476190476,40.4761904762,66.6666666667
4.2.1.5.0,Addetti alla vendita di biglietti,65,57.5,56.25,28.75,67.5,55,48.75,61.25,66.25,62.5,71.25,65,71.25,58.75,43.75,47.5
4.2.1.6.0,Addetti agli sportelli delle agenzie di viaggio,71.875,61.4583333333,66.6666666667,54.1666666667,67.7083333333,63.5416666667,53.125,77.0833333333,71.875,78.125,83.3333333333,84.375,75,61.4583333333,59.375,63.5416666667
4.2.2.1.0,Addetti all'accoglienza e all'informazione nelle imprese e negli enti pubblici,78.75,68.75,72.5,71.25,83.75,68.75,67.5,85,78.75,72.5,81.25,78.75,83.75,55,50,66.25
4.2.2.2.0,Addetti all'accoglienza nei servizi di alloggio e ristorazione,73.9130434783,58.6956521739,59.7826086957,47.8260869565,76.0869565217,59.7826086957,70.652173913,84.7826086957,76.0869565217,69.5652173913,85.8695652174,81.5217391304,77.1739130435,53.2608695652,39.1304347826,56.5217391304
4.2.2.3.0,Centralinisti,65.7894736842,44.7368421053,35.5263157895,19.7368421053,64.4736842105,56.5789473684,38.1578947368,71.0526315789,72.3684210526,50,82.8947368421,68.4210526316,73.6842105263,57.8947368421,31.5789473684,51.3157894737
4.2.2.4.0,Addetti all'informazione nei Call Center (senza funzioni di vendita),65,53.75,50,33.75,71.25,62.5,63.75,83.75,78.75,76.25,76.25,71.25,70,21.25,21.25,57.5
4.3.1.1.0,Addetti alla gestione degli acquisti,75,69.1176470588,63.2352941176,44.1176470588,76.4705882353,57.3529411765,57.3529411765,76.4705882353,72.0588235294,70.5882352941,83.8235294118,70.5882352941,80.8823529412,63.2352941176,51.4705882353,61.7647058824
4.3.1.2.0,Addetti alla gestione dei magazzini e professioni assimilate,66.6666666667,52.7777777778,58.3333333333,40.2777777778,63.8888888889,41.6666666667,62.5,72.2222222222,70.8333333333,63.8888888889,76.3888888889,75,68.0555555556,56.9444444444,37.5,50
4.3.1.3.0,Addetti alla gestione amministrativa dei trasporti merci,59.6153846154,55.7692307692,63.4615384615,50,69.2307692308,51.9230769231,52.8846153846,63.4615384615,68.2692307692,61.5384615385,77.8846153846,74.0384615385,74.0384615385,51.9230769231,39.4230769231,60.5769230769
4.3.2.1.0,Addetti alla contabilità,71.4285714286,72.619047619,64.2857142857,40.4761904762,76.1904761905,53.5714285714,64.2857142857,76.1904761905,85.7142857143,79.7619047619,85.7142857143,84.5238095238,72.619047619,60.7142857143,36.9047619048,72.619047619
4.3.2.2.0,Addetti alle buste paga,71.6666666667,53.3333333333,50,38.3333333333,70,53.3333333333,53.3333333333,63.3333333333,55,60,78.3333333333,81.6666666667,83.3333333333,55,35,68.3333333333
4.3.2.3.0,Addetti alle operazioni finanziarie per conto dell'impresa o dell'organizzazione,76.25,78.75,65,51.25,68.75,60,68.75,67.5,67.5,67.5,77.5,76.25,75,65,52.5,62.5
4.3.2.4.0,Addetti ai servizi statistici,63.8888888889,63.8888888889,47.2222222222,27.7777777778,77.7777777778,63.8888888889,66.6666666667,72.2222222222,72.2222222222,77.7777777778,83.3333333333,86.1111111111,88.8888888889,58.3333333333,22.2222222222,63.8888888889
4.3.2.5.0,Addetti agli uffici interni di cassa,55.5555555556,55.5555555556,58.3333333333,41.6666666667,66.6666666667,47.2222222222,47.2222222222,61.1111111111,52.7777777778,58.3333333333,83.3333333333,88.8888888889,91.6666666667,55.5555555556,30.5555555556,61.1111111111
4.4.1.1.0,"Personale addetto a compiti di controllo, verifica e professioni assimilate",78.5714285714,73.8095238095,71.4285714286,70.2380952381,80.9523809524,64.2857142857,72.619047619,80.9523809524,79.7619047619,84.5238095238,89.2857142857,84.5238095238,85.7142857143,61.9047619048,63.0952380952,78.5714285714
4.4.1.2.0,Addetti al controllo della documentazione di viaggio,56.5789473684,61.8421052632,52.6315789474,40.7894736842,77.6315789474,53.9473684211,68.4210526316,84.2105263158,78.9473684211,71.0526315789,81.5789473684,76.3157894737,77.6315789474,38.1578947368,25,51.3157894737
4.4.1.3.0,Addetti allo smistamento e al recapito della posta,54.5454545455,44.3181818182,45.4545454545,34.0909090909,64.7727272727,38.6363636364,50,69.3181818182,63.6363636364,57.9545454545,65.9090909091,54.5454545455,61.3636363636,46.5909090909,34.0909090909,37.5
4.4.2.1.0,"Addetti ad archivi, schedari e professioni assimilate",76.25,42.5,30,20,63.75,46.25,41.25,32.5,35,43.75,82.5,76.25,60,47.5,26.25,56.25
4.4.2.2.0,Addetti a biblioteche e professioni assimilate,75,65.2173913043,64.1304347826,43.4782608696,73.9130434783,67.3913043478,68.4782608696,73.9130434783,65.2173913043,67.3913043478,82.6086956522,77.1739130435,72.8260869565,59.7826086957,57.6086956522,61.9565217391
