up_new,Descrizione,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
2.6.3.2.5,"Professori di scienze letterarie, artistiche, storiche, filosofiche, pedagogiche e psicologiche nella scuola secondaria superiore",76.0869565217,69.5652173913,75,73.9130434783,75,79.347826087,63.0434782609,84.7826086957,81.5217391304,77.1739130435,85.8695652174,73.9130434783,83.6956521739,70.652173913,71.7391304348,76.0869565217
2.6.3.2.6,"Professori di scienze giuridiche, economiche e sociali nella scuola secondaria superiore",75,73,76,68,80,77,58,83,78,75,84,72,87,62,59,69
2.6.3.3.1,Professori di discipline umanistiche nella scuola secondaria inferiore,77.380952381,75,72.619047619,70.2380952381,82.1428571429,85.7142857143,71.4285714286,82.1428571429,79.7619047619,72.619047619,89.2857142857,70.2380952381,83.3333333333,46.4285714286,65.4761904762,72.619047619
2.6.3.3.2,Professori di discipline tecniche e scientifiche nella scuola secondaria inferiore,82.1428571429,70.2380952381,72.619047619,60.7142857143,75,88.0952380952,70.2380952381,86.9047619048,77.380952381,75,89.2857142857,67.8571428571,84.5238095238,55.9523809524,64.2857142857,76.1904761905
2.6.4.1.0,Professori di scuola primaria,70.4545454545,71.5909090909,75,65.9090909091,77.2727272727,81.8181818182,70.4545454545,89.7727272727,86.3636363636,84.0909090909,89.7727272727,79.5454545455,90.9090909091,57.9545454545,70.4545454545,69.3181818182
2.6.4.2.0,Professori di scuola pre-primaria,75,75,77.6315789474,59.2105263158,85.5263157895,88.1578947368,81.5789473684,90.7894736842,89.4736842105,84.2105263158,93.4210526316,84.2105263158,90.7894736842,65.7894736842,84.2105263158,76.3157894737
2.6.5.1.0,Specialisti nell’educazione e nella formazione di soggetti diversamente abili,87.5,92.5,88.75,53.75,83.75,90,83.75,93.75,85,85,92.5,83.75,90,52.5,81.25,72.5
2.6.5.2.0,Ispettori scolastici e professioni assimilate,92.1052631579,85.5263157895,90.7894736842,88.1578947368,82.8947368421,80.2631578947,75,88.1578947368,89.4736842105,85.5263157895,93.4210526316,88.1578947368,96.0526315789,68.4210526316,78.9473684211,86.8421052632
2.6.5.3.1,Docenti della formazione e dell'aggiornamento professionale,70.2380952381,75,75,69.0476190476,75,75,60.7142857143,79.7619047619,77.380952381,73.8095238095,79.7619047619,77.380952381,76.1904761905,60.7142857143,69.0476190476,69.0476190476
2.6.5.3.2,Esperti della progettazione formativa e curricolare,78,70,79,71,74,62,60,61,66,76,82,77,74,62,67,70
